Name,Start price,Price,CMGR[$] 3mo,Cum. ROI,Avg. Mkt. Cap,Mkt. Cap,24h Vol,Avg. volume,Age (mo),Winning months,ATH,% fm. ATH,ATH (BTC),% fm. ATH (BTC)
Energycoin,0.0002,0.0053,- 49.16,6218.29,N/A,651.72 K,4.28 K,4372,57,17.00,0.4928,-98.92,0.00006926,-99.03
Origin Sport,0.1419,0.0085,- 40.87,- 97.88,N/A,650.53 K,4.79 MM,247463,7,8.00,0.1588,-94.64,0.00002398,-95.50
PinkCoin,0.00005653,0.0016,- 31.22,2843.05,N/A,645.77 K,1.39 K,2020,57,17.00,0.1065,-98.51,0.00000987,-97.97
Experty,0.6108,0.0238,- 35.88,- 95.32,N/A,644.88 K,19.03 K,13820,11,25.00,0.3794,-93.73,0.00003394,-91.13
Debitum Network,0.0649,0.0032,- 39.98,- 95.17,N/A,638.61 K,4.53 K,9184,11,25.00,0.0954,-96.65,0.00001049,-96.19
Ryo Currency,0.2792,0.0561,- 21.46,- 78.70,N/A,636.20 K,1.33 K,1147,6,8.00,0.2549,-77.98,0.00003445,-79.45
Luna Stars,0.0006,0.00005174,- 19.03,- 91.70,N/A,632.12 K,177.82,396,6,8.00,0.0015,-96.59,0.00000023,-95.65
Arionum,0.0251,0.0040,- 42.41,- 73.86,N/A,629.86 K,209.26 K,85187,6,25.00,0.0475,-91.68,0.00000734,-93.19
Breakout Stake,0.4318,0.1002,- 17.75,- 77.01,N/A,628.30 K,48.97,435,31,25.00,2.80,-96.42,0.0007,-95.65
Lampix,0.0804,0.0046,- 24.94,- 94.91,N/A,627.73 K,600.14,191,16,33.00,0.3168,-98.54,0.00002443,-97.58
Golos,1.56,0.0050,- 26.67,- 99.45,N/A,618.14 K,529.07,3581,26,8.00,0.4701,-98.94,0.0001,-99.47
Scorum Coins,0.2593,0.0209,- 22.39,- 81.21,N/A,610.29 K,26.76 K,15763,6,25.00,0.5380,-96.12,0.00007986,-96.71
ALBOS,0.0003,0.00007585,- 16.94,8.46,N/A,607.50 K,0.00,0,1,0.00,0.0029,-97.37,0.00000083,-98.80
Ifoods Chain,0.0026,0.0002,- 45.46,- 87.92,N/A,606.99 K,6.79 K,4865,4,0.00,0.0029,-91.59,0.00000046,-93.52
Qwark,0.0788,0.0090,- 21.76,- 88.09,N/A,600.58 K,1.36 K,1828,34,8.00,0.6330,-98.58,0.0002,-99.52
Verify,0.4664,0.0444,- 22.93,- 94.87,N/A,599.87 K,219.68,315,14,17.00,4.51,-99.02,0.0003,-98.24
Atmos,0.0125,0.0059,- 34.59,- 52.26,N/A,599.25 K,0.00,26,22,33.00,0.2838,-97.91,0.00002386,-92.79
NuBits,1.01,0.0535,- 31.62,- 96.54,N/A,587.19 K,15.62 K,15415,52,8.00,1.26,-95.77,0.0053,-99.87
CryptoCarbon,3.67,0.0236,- 10.43,- 99.67,N/A,583.34 K,733.78,8645,25,33.00,2.83,-99.16,0.0029,-99.90
Bitcoin Scrypt,0.0189,0.0330,- 6.71,- 41.90,N/A,582.20 K,147.53,32,59,33.00,0.4070,-91.88,0.0002,-98.10
LiteDoge,0.00002007,0.00003790,- 23.10,51.95,N/A,577.73 K,77.17,211,47,25.00,0.0008,-94.97,0.00000019,-100.00
Profile Utility Token,1.02,0.0127,- 19.02,- 99.25,N/A,576.94 K,192.71 K,115126,13,17.00,2.82,-99.55,0.0002,-99.35
EncryptoTel,0.3048,0.0093,- 11.36,- 95.53,N/A,575.75 K,13.19 K,6709,20,25.00,0.5283,-98.25,0.0001,-99.17
HBZ Coin,0.0109,0.0007,- 36.51,- 95.56,N/A,573.93 K,82.82 K,50377,9,25.00,0.0316,-97.68,0.00000339,-97.35
WeAreSatoshi,0.0008,0.0310,- 34.65,3990.27,N/A,572.21 K,3.79,456,53,42.00,0.1013,-69.34,0.00001959,-54.12
Social Send,0.0790,0.0147,- 24.16,- 79.53,N/A,568.99 K,351.14,4639,14,33.00,1.02,-98.55,0.00007345,-97.47
Bitmark,0.1048,0.0526,11.73,- 49.81,N/A,567.34 K,0.00,60,54,33.00,3.39,-98.45,0.0020,-99.22
Coinvest,0.2678,0.0473,- 29.16,- 66.92,N/A,557.64 K,93.36,630,6,17.00,0.6396,-92.61,0.00009948,-94.00
BuzzCoin,0.0003,0.00002787,- 31.45,- 94.63,N/A,557.46 K,453.55,773,17,42.00,0.0024,-98.82,0.00000056,-100.00
EDRCoin,0.9758,0.1896,93.23,- 38.21,N/A,555.63 K,15.04 K,16617,34,42.00,16.47,-98.85,0.0308,-99.92
TrezarCoin,0.0035,0.0036,- 21.18,- 13.15,N/A,552.05 K,277.79,505,16,25.00,0.4830,-99.26,0.00003442,-98.69
Monster Byte Inc,0.0501,0.0326,- 15.99,- 34.93,N/A,548.40 K,0.00,36,18,50.00,0.2134,-84.73,0.00002015,-53.14
HeartBout,0.0758,0.0103,- 34.33,- 92.46,N/A,547.58 K,17.58 K,51218,6,8.00,0.0991,-89.62,0.00001404,-90.74
Eristica,0.0112,0.0032,- 20.68,- 79.92,N/A,547.37 K,0.00,397,4,0.00,0.0096,-67.08,0.00000151,-73.50
MyBit,3.30,0.0036,- 44.52,- 99.90,N/A,546.25 K,702.34,2740,18,0.00,14.01,-99.97,0.0010,-99.96
ATB Coin,1.13,0.0129,- 29.91,- 99.31,N/A,543.54 K,4.52 MM,3592413,17,25.00,1.40,-99.08,0.0003,-99.45
RealChain,0.0916,0.0014,- 32.42,- 99.41,N/A,538.62 K,91.53 K,95877,13,25.00,0.1497,-99.10,0.00001371,-98.76
Carboncoin,0.00000386,0.00003466,- 5.81,444.46,N/A,533.49 K,39.61,0.5517,54,33.00,0.0019,-98.17,0.00000012,-100.00
Auctus,0.5829,0.0178,- 40.45,- 98.09,N/A,531.85 K,14.62 K,10103,10,0.00,1.23,-98.54,0.0001,-98.28
NeosCoin,0.0455,0.1228,- 24.29,166.69,N/A,530.75 K,918.54,784,53,17.00,16.52,-99.26,0.0027,-99.42
OBITS,0.0784,0.0346,- 22.83,- 49.03,N/A,529.64 K,229.83,572,38,25.00,3.57,-99.03,0.0013,-99.67
WorldCoin,0.1093,0.0044,- 12.68,- 96.18,N/A,529.32 K,142.25,0,69,42.00,0.8316,-99.47,0.0010,-99.94
Breakout,587.05,0.0278,- 11.05,- 100.00,N/A,527.35 K,397.77,1632,32,33.00,677.52,-100.00,1.00,-100.00
Target Coin,0.0290,0.0006,- 43.24,- 98.93,N/A,526.80 K,0.7900,47,16,17.00,0.1255,-99.56,0.00000771,-99.09
Stronghold Token,0.0027,0.0005,- 12.65,- 61.81,N/A,526.25 K,7.58 K,5719,1,0.00,0.0023,-77.72,0.00000063,-90.41
IDEX Membership,8794.25,261.07,- 25.27,- 96.78,N/A,522.14 K,9.29 K,1169,13,17.00,9022.79,-97.11,0.8121,-95.94
RefToken,7.09,0.5221,- 21.04,- 92.19,N/A,522.14 K,9.11 K,17537,13,25.00,57.55,-99.09,0.0050,-98.69
Sharpay,0.0012,0.0005,- 40.71,- 70.72,N/A,519.08 K,6.25 K,31792,4,17.00,0.0030,-83.17,0.00000078,-92.32
1World,0.3839,0.0247,- 48.31,- 94.80,N/A,518.48 K,2.06 K,10265,11,17.00,0.5389,-95.41,0.00006448,-95.16
Skeincoin,0.0013,0.0381,- 37.56,716.50,N/A,518.31 K,54.28,187,59,42.00,0.2473,-84.60,0.00006908,-93.04
The ChampCoin,0.1385,0.0030,- 19.67,- 98.62,N/A,515.86 K,430.23 K,71778,18,33.00,0.2115,-98.60,0.00004604,-99.20
Graviocoin,0.0005,0.0006,- 11.58,3.16,N/A,514.27 K,737.51,4541,6,25.00,0.0007,-21.67,0.00000019,-63.63
Patron,0.0717,0.0019,- 47.42,- 95.96,N/A,513.91 K,1.49 MM,1190693,9,8.00,0.0931,-97.95,0.00001249,-98.08
Capricoin,0.0487,0.2571,- 28.33,396.98,N/A,511.59 K,184.18 K,57205,43,33.00,2.79,-90.79,0.0073,-99.55
Ace,0.4521,0.0427,- 35.85,- 96.91,N/A,507.07 K,62.32 K,39947,13,17.00,1.90,-97.75,0.0001,-95.47
Rentberry,0.0400,0.0017,- 36.96,- 95.06,N/A,504.56 K,3.71 K,1811,10,33.00,0.1136,-98.53,0.00001219,-98.28
Starbase,0.1089,0.0027,- 42.89,- 98.64,N/A,504.19 K,2.20 K,697,14,17.00,0.6916,-99.61,0.00008192,-99.58
Mallcoin,0.0781,0.0029,- 22.28,- 94.33,N/A,502.55 K,16.79 K,27366,4,8.00,0.0783,-96.36,0.00002001,-98.20
Niobio Cash,0.0018,0.0040,- 25.18,175.12,N/A,502.36 K,2.54 K,2352,6,42.00,0.0199,-79.92,0.00000360,-85.83
InterValue,0.0165,0.0037,- 25.41,- 65.07,N/A,492.82 K,39.41 K,215135,3,0.00,0.0142,-73.90,0.00000259,-81.88
SnodeCoin,0.0424,0.0210,- 39.44,- 62.38,N/A,492.74 K,160.98,4239,3,8.00,0.1138,-81.57,0.00001776,-85.08
Elcoin,0.0747,0.0435,- 13.45,- 82.26,N/A,487.13 K,1.36 K,89,33,50.00,0.2977,-85.40,0.0002,-96.83
Denarius,0.1708,0.0874,- 42.72,- 72.11,N/A,482.59 K,3.36 K,332,19,25.00,3.97,-97.80,0.0004,-97.08
Repme,0.00001501,0.00001306,- 25.11,- 13.02,N/A,473.12 K,22.93 K,52864,4,17.00,0.00005449,-76.03,0.00000001,-100.00
Auxilium,0.0064,0.0044,- 10.61,- 51.07,N/A,465.07 K,1.02 K,5222,4,17.00,0.0078,-43.86,0.00000120,-54.23
Xenon,0.0105,0.0015,- 17.53,- 85.70,N/A,463.70 K,133.08,313,15,17.00,0.5749,-99.73,0.00003993,-98.87
Helium,0.3490,0.0451,- 28.93,- 63.21,N/A,458.83 K,0.00,885,4,0.00,3.14,-98.56,0.0009,-99.35
SmileyCoin,0.00000256,0.00001762,- 22.10,311.12,N/A,457.39 K,121.23,15,48,17.00,0.0006,-96.94,0.00000020,-100.00
BetterBetting,0.0714,0.0025,- 18.81,- 95.83,N/A,457.23 K,1.79 K,17711,9,8.00,0.0942,-97.34,0.00001255,-97.45
Golfcoin,0.0001,0.00001954,- 18.94,- 68.71,N/A,456.54 K,14.33,0.2000,29,42.00,0.0009,-97.80,0.00000009,-100.00
SiaCashCoin,0.00002988,0.00005726,- 31.96,88.53,N/A,456.52 K,29.68 K,19103,6,17.00,0.0003,-82.38,0.00000005,-80.15
Arbidex,0.0642,0.0223,- 33.65,- 47.30,N/A,455.84 K,121.82 K,40780,6,25.00,0.1563,-85.72,0.00002464,-88.56
White Standard,1.02,1.03,- 9.26,- 4.85,N/A,454.37 K,65.17 K,5230,6,17.00,5.78,-82.10,0.0014,-90.93
Mao Zedong,0.0027,0.0717,- 15.94,1040.07,N/A,454.12 K,0.00,576,18,33.00,0.3138,-77.16,0.00004388,-79.38
Zero,0.0919,0.0759,- 35.94,- 18.14,N/A,452.14 K,1.81 K,783,23,25.00,12.05,-99.37,0.0008,-98.80
Nerva,0.2353,0.0283,- 45.66,- 87.05,N/A,449.72 K,1.29 K,2787,3,0.00,0.1794,-84.23,0.00002826,-87.37
Pesetacoin,0.0060,0.0032,- 24.08,- 73.98,N/A,449.04 K,4.96,43,59,8.00,0.1636,-98.02,0.00009898,-99.59
Cryptonite,0.0449,0.0006,- 17.57,- 99.25,N/A,447.87 K,922.64,253,54,17.00,0.0744,-99.15,0.00003329,-99.76
Digital Insurance Token,0.0022,0.0020,- 24.94,- 66.85,N/A,443.20 K,1.15 K,546,5,8.00,0.0098,-79.22,0.00000145,-82.10
ZCore,0.0617,0.1167,- 22.80,181.11,N/A,443.18 K,897.01,5377,6,25.00,0.5745,-79.69,0.00009010,-83.65
Dinastycoin,0.0003,0.0002,- 29.31,- 63.32,N/A,441.57 K,21.57,130,19,25.00,0.0073,-96.75,0.00000075,-96.02
Relex,0.0042,0.0003,- 55.28,- 95.61,N/A,441.33 K,5.40 K,9180,6,8.00,0.0276,-99.07,0.00000427,-99.30
ClearPoll,0.4358,0.0624,- 35.04,- 77.00,N/A,436.75 K,4.06 K,5199,15,17.00,10.47,-99.40,0.0007,-98.91
Freyrchain,0.0182,0.0009,- 26.96,- 96.55,N/A,430.34 K,10.28 K,30049,9,8.00,0.0202,-95.74,0.00000237,-95.36
Zetacoin,0.0005,0.0025,1.18,169.06,N/A,430.19 K,11.78 K,35404,65,25.00,0.0882,-97.13,0.00009481,-99.66
Sumokoin,0.0456,0.0425,- 36.66,- 48.01,N/A,428.35 K,83.47 K,2123,20,25.00,10.13,-99.58,0.0007,-99.26
FoodCoin,0.0029,0.0011,- 34.56,- 63.31,N/A,426.51 K,11.99,87,6,25.00,0.0091,-88.29,0.00000150,-79.34
Travelflex,0.2514,0.0054,- 26.19,- 97.35,N/A,424.48 K,733.32,1218,12,33.00,0.1927,-97.21,0.00002353,-97.11
Alchemint Standards,0.0130,0.0013,- 27.85,- 83.60,N/A,422.76 K,22.59 K,52244,6,17.00,0.0137,-90.31,0.00000213,-92.02
Equal,0.0065,0.0010,- 12.76,- 87.67,N/A,422.09 K,342.87,320,12,33.00,0.0060,-83.03,0.00000074,-82.43
Bettex Coin,0.1818,0.0751,- 13.50,- 55.82,N/A,419.85 K,187.83,14872,5,8.00,0.3663,-79.50,0.00005806,-83.67
EventChain,0.1555,0.0134,- 14.18,- 90.31,N/A,418.01 K,3.76 K,1884,14,25.00,1.16,-98.85,0.00009961,-98.30
DogeCash,0.0665,0.1152,- 12.65,- 37.82,N/A,416.45 K,0.4800,2887,1,0.00,0.1152,0.00,0.00001868,-22.14
FSBT API Token,0.7899,0.1179,- 16.07,- 83.19,N/A,413.93 K,617.70 K,892928,7,17.00,0.5236,-77.48,0.00006923,-78.49
Bethereum,0.0057,0.0011,- 29.66,- 78.47,N/A,413.06 K,94.82 K,23949,4,0.00,0.0055,-79.17,0.00000084,-82.15
Pigeoncoin,0.0008,0.0002,- 30.00,- 91.32,N/A,409.65 K,1.79 K,709,6,8.00,0.0006,-74.68,0.00000009,-77.66
Photon,0.00000533,0.00001434,- 24.41,60.86,N/A,407.61 K,728.40,160,57,25.00,0.0009,-98.46,0.00000006,-100.00
Stronghold USD,1.03,1.01,- 42.12,- 1.16,N/A,405.23 K,596.64 K,620633,2,0.00,1.17,-13.45,0.0003,-8.91
Kind Ads Token,0.1807,0.0096,0.3297,- 89.80,N/A,404.86 K,649.88,939,6,8.00,0.1090,-91.20,0.00002833,-95.73
Atonomi,0.0340,0.0008,- 47.82,- 97.33,N/A,401.95 K,59.77 K,88837,7,8.00,0.0400,-97.95,0.00000620,-98.39
Ethbits,1.24,0.2459,- 33.87,- 85.35,N/A,401.91 K,0.00,31,20,25.00,6.24,-96.06,0.0018,-98.24
Woodcoin,0.0011,0.0500,- 13.98,4249.21,N/A,401.84 K,0.00,2184,47,25.00,0.3915,-87.23,0.00006900,-79.00
BitBar,100.59,9.64,- 36.80,- 92.55,N/A,398.24 K,294.93,190,69,25.00,200.87,-95.20,0.4648,-99.74
SRCOIN,0.0051,0.00007825,- 41.36,- 98.47,N/A,395.32 K,139.79,10086,9,17.00,0.0083,-99.06,0.00000128,-99.22
Mindexcoin,0.0185,0.0167,2.41,104.79,N/A,392.67 K,120.42,5239,5,25.00,1.07,-98.43,0.0002,-98.70
HeroNode,0.0282,0.0004,- 42.89,- 98.64,N/A,391.19 K,49.65 K,56384,9,8.00,0.0297,-98.74,0.00000385,-98.70
GoByte,9.32,0.1074,- 47.80,- 98.65,N/A,391.18 K,26.93 K,17271,15,17.00,80.26,-99.87,0.0056,-99.76
WABnetwork,0.0007,0.00003876,- 36.75,- 90.55,N/A,385.66 K,9.97 K,9620,6,8.00,0.0049,-99.21,0.00000073,-100.00
Knoxstertoken,0.0081,0.0027,- 27.56,- 76.50,N/A,385.46 K,893.16,266,5,8.00,0.0115,-76.96,0.00000183,-81.42
View,0.0446,0.0110,- 12.29,- 86.27,N/A,385.27 K,305.38,126,6,8.00,0.0725,-84.86,0.00000969,-85.66
Anoncoin,0.0281,0.1824,- 31.17,1942.47,N/A,384.91 K,78.32,494,67,33.00,11.97,-98.48,0.0112,-99.79
Sharechain,0.0056,0.0002,18.68,- 97.38,N/A,384.36 K,904.06,947,15,33.00,0.0163,-99.07,0.00000102,-96.09
Ubcoin Market,0.0126,0.0011,- 18.60,- 95.46,N/A,384.24 K,1.02 K,13987,5,8.00,0.0127,-91.14,0.00000188,-92.56
ERC20,0.00003965,0.0549,1.72,280464.20,N/A,384.02 K,131.41 K,40689,15,25.00,5.93,-99.07,0.0010,-99.28
Freicoin,0.0422,0.0118,- 14.67,- 88.62,N/A,382.41 K,0.8600,63,69,42.00,0.3385,-96.52,0.0005,-99.67
Pylon Network,21.79,0.9151,- 15.62,- 96.56,N/A,380.23 K,122.89 K,258708,13,8.00,32.91,-97.22,0.0026,-95.47
Goodomy,0.0060,0.0006,- 22.71,- 91.32,N/A,380.16 K,0.00,0.2667,19,25.00,0.0203,-96.98,0.00000147,-94.55
Bullion,0.0943,0.3697,- 36.23,292.08,N/A,380.03 K,0.00,21,66,25.00,6.87,-94.62,0.0056,-98.08
SyncFab,0.0426,0.0021,- 28.28,- 97.16,N/A,379.53 K,584.68 K,75911,10,25.00,0.0568,-96.32,0.00000578,-95.50
Banyan Network,0.1011,0.0006,- 46.50,- 98.87,N/A,376.94 K,805.81,21927,11,8.00,0.1386,-99.55,0.00001542,-99.48
JET8,0.0347,0.0005,- 36.14,- 98.09,N/A,376.17 K,114.88 K,21567,11,8.00,0.0288,-98.42,0.00000357,-98.32
Vulcano,0.0348,0.0018,- 28.82,- 90.18,N/A,374.94 K,192.03,1468,15,33.00,0.0262,-93.06,0.00000396,-94.20
Proton Token,0.0016,0.0002,- 35.62,- 93.37,N/A,373.65 K,107.96 K,74344,7,8.00,0.0016,-90.30,0.00000021,-90.53
PKG Token,0.00001736,0.00004132,- 28.40,- 60.04,N/A,370.65 K,43.42 K,13789,6,17.00,0.0006,-92.95,0.00000009,-88.27
Bigbom,0.0153,0.0011,- 39.07,- 96.24,N/A,370.17 K,355.48 K,271578,8,8.00,0.0122,-91.07,0.00000181,-92.29
WandX,0.2926,0.0301,- 33.62,- 92.48,N/A,368.51 K,291.49,374,13,25.00,1.32,-97.73,0.00009196,-95.87
HyperQuant,0.0223,0.0049,22.32,- 87.33,N/A,367.73 K,912.91 K,561084,2,0.00,0.0227,-78.43,0.00000625,-90.08
BiblePay,0.0010,0.0002,- 22.45,- 78.43,N/A,366.70 K,639.16,670,17,33.00,0.0128,-98.14,0.00000090,-96.67
Decentralized Machine Learning,0.1445,0.0058,- 35.91,- 98.05,N/A,364.14 K,27.14 K,10049,9,17.00,0.2431,-97.62,0.00002603,-97.20
AirWire,0.0610,0.0030,- 38.14,- 90.22,N/A,360.56 K,785.15,57396,4,8.00,0.0786,-96.18,0.00001624,-97.66
AdHIve,0.0552,0.0027,- 41.65,- 96.40,N/A,359.56 K,2.30 K,20957,10,17.00,0.0876,-96.88,0.00001000,-96.50
Megacoin,0.0025,0.0094,- 19.31,5.53,N/A,359.02 K,51.09,46,67,25.00,2.60,-99.64,0.0023,-99.95
Block Array,0.3040,0.0052,- 15.45,- 96.19,N/A,358.65 K,2.69 K,17637,12,17.00,0.4387,-98.81,0.00004348,-98.48
HEROcoin,0.0928,0.0024,- 36.27,- 95.26,N/A,355.33 K,7.36 K,35837,13,25.00,0.3237,-99.25,0.00002197,-98.63
VeriumReserve,0.3237,0.1647,- 13.70,- 1.80,N/A,355.28 K,630.93,1265,29,25.00,17.07,-99.03,0.0016,-98.66
GravityCoin,0.0207,0.1744,- 37.15,766.79,N/A,354.96 K,4.03 K,1029,43,33.00,15.93,-98.90,0.0020,-98.89
Bee Token,0.2393,0.0015,- 25.19,- 98.71,N/A,353.70 K,5.83 K,7100,11,17.00,0.1746,-99.13,0.00001799,-98.94
Bitzeny,0.0001,0.0046,9.16,3617.55,N/A,351.47 K,93.44,1347,43,8.00,0.4012,-98.84,0.00002718,-97.83
PRASM,0.0038,0.0002,- 48.37,- 86.85,N/A,350.22 K,10.62,2284,6,0.00,0.0046,-96.58,0.00000071,-97.18
Centauri,0.0292,0.0088,- 22.70,- 35.94,N/A,345.42 K,458.15,305605,1,0.00,0.0421,-78.97,0.00001207,-90.72
PopularCoin,0.00000491,0.00008828,- 23.55,1288.31,N/A,344.77 K,18.66,26,57,17.00,0.0034,-97.43,0.00000025,-96.00
Stipend,1.23,0.0313,- 10.61,- 93.67,N/A,344.70 K,305.17,151,10,25.00,2.07,-98.49,0.0002,-98.35
Fire Lotto,0.0742,0.0125,- 12.10,- 66.42,N/A,344.52 K,224.06 K,72788,5,17.00,0.0974,-87.13,0.00001492,-89.41
Condominium,0.0064,0.0002,- 33.88,- 96.19,N/A,343.42 K,6.49 K,3623,6,17.00,0.0126,-98.09,0.00000200,-96.50
Cpollo,0.0002,0.00003808,- 41.81,- 84.08,N/A,340.61 K,1.13 K,4880,4,8.00,0.0005,-92.87,0.00000008,-87.51
Birake,0.3221,0.0059,- 36.38,- 91.39,N/A,340.33 K,16.29 K,28925,5,8.00,0.2845,-97.91,0.00004289,-98.25
HyperStake,0.0027,0.0002,- 26.07,- 93.43,N/A,337.13 K,192.63,225,54,25.00,0.0303,-99.19,0.00007725,-99.96
Webchain,0.0016,0.0031,- 42.22,- 13.86,N/A,336.30 K,1.29 K,379,4,8.00,0.0105,-70.53,0.00000167,-76.65
GoldMint,1.91,0.1755,- 5.85,- 86.63,N/A,336.12 K,765.50,1085,12,17.00,6.35,-97.24,0.0009,-97.59
BioCoin,0.0190,0.0004,- 15.82,- 98.36,N/A,333.41 K,347.24,183,12,33.00,0.0174,-97.73,0.00000178,-97.20
Dash Green,0.3402,0.2043,- 11.14,- 29.86,N/A,333.28 K,1.90 K,7731,1,0.00,0.3790,-46.08,0.0001,-75.55
TENA,0.1946,0.1317,- 23.96,- 74.21,N/A,328.23 K,13.66 K,22907,2,0.00,0.2038,-35.38,0.00005139,-67.64
Mithril Ore,21.30,25.18,55.54,6.35,N/A,321.10 K,1.78 K,1951,5,33.00,99.61,-74.72,0.0248,-87.19
EXMR,0.0272,0.0270,- 33.62,- 40.81,N/A,320.10 K,5.98 K,1841,6,17.00,0.0897,-69.89,0.00001353,-74.79
AudioCoin,0.00003739,0.0003,- 31.56,708.22,N/A,317.96 K,16.01,211,44,8.00,0.0404,-99.19,0.00000345,-98.84
BlueCoin,0.0001,0.0006,- 30.88,403.08,N/A,317.90 K,222.07,23,57,42.00,0.0169,-96.73,0.00002500,-99.72
Ethorse,0.1039,0.0028,- 14.57,- 95.35,N/A,314.66 K,25.03,53,13,33.00,0.1847,-98.46,0.00001876,-98.08
Seal Network,0.0051,0.0006,- 28.95,- 87.60,N/A,312.66 K,306.66,616,6,8.00,0.0051,-88.21,0.00000078,-89.78
Spectiv,0.0173,0.0010,- 34.64,- 94.52,N/A,312.39 K,482.24,1001,10,17.00,0.0633,-98.38,0.00000675,-98.07
AB-CHAIN,0.0543,0.0162,- 15.70,- 71.46,N/A,311.41 K,1.48 K,3712,6,17.00,0.0584,-72.32,0.00000877,-46.63
Neutron,0.0210,0.0079,- 31.81,- 72.86,N/A,310.48 K,0.00,1010,46,8.00,0.9888,-99.20,0.0001,-99.24
Daneel,0.0167,0.0059,- 38.00,- 59.25,N/A,309.04 K,685.38,2982,10,17.00,0.4386,-98.65,0.00004714,-98.41
Aditus,0.0131,0.0013,- 15.44,- 94.89,N/A,308.27 K,68.21 K,50280,9,17.00,0.0713,-98.15,0.00000811,-97.90
Magi,0.0692,0.0355,- 17.76,- 85.40,N/A,308.15 K,17.26,61,52,33.00,1.87,-98.10,0.0001,-96.48
PoSW Coin,0.0013,0.0070,- 31.30,226.91,N/A,306.64 K,4.74,4,25,17.00,1.02,-99.32,0.0002,-99.54
AdCoin,0.1020,0.0196,- 11.94,- 88.85,N/A,306.19 K,242.77,145,17,25.00,0.4743,-95.87,0.00006858,-96.40
XOVBank,0.0104,0.0025,- 19.31,- 87.39,N/A,304.88 K,50.85 K,11428,6,17.00,0.0066,-62.46,0.00000138,-77.51
BlockMesh,0.0354,0.0034,6.98,- 93.04,N/A,304.22 K,553.63,1647,9,17.00,0.0283,-88.02,0.00000397,-89.17
imbrex,0.4002,0.0351,- 44.68,- 95.07,N/A,303.56 K,518.81,123,17,17.00,3.27,-98.93,0.0002,-98.09
Block-Logic,0.0134,0.0132,- 40.69,32.45,N/A,302.64 K,1.26 K,412,2,8.00,0.0752,-82.43,0.00001937,-91.38
Iungo,0.4793,0.0076,- 27.93,- 98.89,N/A,302.54 K,23.50 K,12159,12,8.00,0.3297,-97.71,0.00003434,-97.23
Bridge Protocol,0.0042,0.0013,9.75,- 52.13,N/A,299.15 K,587.43,2249,6,17.00,0.0113,-88.22,0.00000295,-94.23
Bonpay,1.30,0.0265,- 31.09,- 98.65,N/A,298.86 K,7.04 K,12091,14,8.00,2.29,-98.85,0.0002,-98.03
Bitradio,0.0904,0.0397,- 24.39,- 82.19,N/A,298.20 K,0.00,68,19,33.00,1.32,-96.98,0.00009499,-94.73
TeslaCoin,0.0041,0.0038,- 33.89,- 7.15,N/A,294.68 K,0.00,60,60,33.00,0.1426,-97.36,0.00007001,-98.44
Obsidian,0.2803,0.0044,- 3.48,- 98.78,N/A,291.37 K,17.38,1332,16,17.00,2.63,-99.83,0.0002,-99.68
StrongHands Masternode,0.4196,0.2448,- 12.65,- 33.54,N/A,290.58 K,296.51,924,1,0.00,0.5455,-55.13,0.0001,-79.34
FlypMe,0.0950,0.0164,- 19.15,- 89.20,N/A,289.90 K,68.14 K,8807,15,17.00,2.37,-99.31,0.0002,-98.74
Shard,0.0587,0.0198,- 24.13,- 61.52,N/A,288.78 K,31.36,240,4,0.00,0.0767,-74.26,0.00001192,-79.11
Ixcoin,0.0137,0.0137,- 29.06,- 36.88,N/A,288.48 K,30.51,23,69,25.00,0.6996,-98.04,0.0005,-99.65
Galactrum,16.11,0.0798,- 41.46,- 99.75,N/A,287.60 K,290.67,166,13,8.00,14.75,-99.46,0.0014,-99.26
VeriME,0.1250,0.0016,- 18.94,- 98.52,N/A,286.93 K,41.73,29770,9,25.00,0.0928,-98.25,0.00001110,-98.20
Moin,0.0006,0.0341,- 25.25,1655.65,N/A,284.89 K,537.96,45,37,25.00,1.29,-97.36,0.00008897,-95.16
IP Exchange,0.0065,0.0003,- 18.68,- 90.44,N/A,284.41 K,758.17,1242,10,17.00,0.0169,-98.11,0.00000181,-97.80
Lobstex,0.0207,0.0176,- 13.71,- 60.55,N/A,283.11 K,48.67 K,13273,5,8.00,0.3449,-94.89,0.00005581,-96.02
UltraNote Coin,0.0007,0.00007902,- 52.02,- 91.99,N/A,282.26 K,43.46,8383,6,25.00,0.0016,-95.04,0.00000022,-95.45
QubitCoin,0.0013,0.0008,- 16.53,- 36.01,N/A,278.84 K,0.00,0,60,42.00,0.0182,-95.45,0.00000180,-86.70
Trollcoin,0.00000373,0.0005,- 12.39,13542.35,N/A,278.71 K,9.57,60,52,25.00,0.0071,-93.35,0.00000118,-94.94
ATMChain,0.0263,0.00005927,- 31.91,- 99.74,N/A,276.23 K,0.00,169,16,17.00,0.0942,-99.94,0.00001712,-99.94
PENG,0.0001,0.00004199,- 18.27,- 55.11,N/A,276.02 K,795.88,1179,5,8.00,0.0003,-83.71,0.00000004,-74.36
HOdlcoin,0.0388,0.0012,- 21.41,- 99.03,N/A,275.60 K,100.63,13,35,25.00,0.0800,-98.52,0.0002,-99.91
Pakcoin,0.00003449,0.0040,- 33.31,1310.10,N/A,272.43 K,0.7900,47,41,17.00,0.0479,-91.71,0.00001049,-95.23
