Name,Start price,Price,CMGR[$] 3mo,Cum. ROI,Avg. Mkt. Cap,Mkt. Cap,24h Vol,Avg. volume,Age (mo),Winning months,ATH,% fm. ATH,ATH (BTC),% fm. ATH (BTC)
IOStoken,0.0235,0.0135,- 21.05,- 74.54,N/A,161.89 MM,58.39 MM,5084048,13,42.00,0.1365,-90.13,0.00001215,-86.01
Pundi X,0.0010,0.0008,- 24.49,- 36.02,N/A,161.23 MM,15.83 MM,5727938,11,25.00,0.0153,-95.05,0.00000233,-95.71
DigiByte,0.0015,0.0131,- 26.02,477.52,N/A,154.75 MM,7.44 MM,960758,60,17.00,0.1297,-89.89,0.00002213,-92.50
Aeternity,0.6843,0.5570,- 35.25,- 46.28,N/A,147.40 MM,23.73 MM,39242360,20,33.00,5.00,-88.86,0.0015,-95.31
Siacoin,0.00004576,0.0036,- 30.63,4608.06,N/A,147.14 MM,8.06 MM,1158878,41,33.00,0.0972,-96.28,0.00000844,-94.55
Aurora,0.0582,0.0216,- 33.05,- 85.54,N/A,141.52 MM,648.73 K,2091838,7,17.00,0.0601,-64.01,0.00000893,-69.42
Komodo,0.1158,1.19,- 19.44,433.26,N/A,135.52 MM,3.96 MM,388208,24,25.00,12.89,-90.73,0.0010,-84.33
Huobi Token,1.49,2.62,- 16.50,- 37.88,N/A,131.11 MM,149.22 MM,8361654,12,25.00,6.10,-57.00,0.0008,-58.61
Bytom,0.1110,0.1308,- 27.58,- 31.23,N/A,131.08 MM,20.72 MM,2840088,18,50.00,1.13,-88.46,0.0001,-87.15
ABBC Coin,0.3669,0.2535,- 40.89,- 80.63,N/A,128.01 MM,46.21 MM,14184805,4,17.00,1.29,-80.36,0.0002,-84.03
Steem,0.6429,0.3835,- 29.47,- 57.43,N/A,122.11 MM,4.61 MM,3993858,34,25.00,7.31,-94.75,0.0065,-99.26
Qubitica,2.71,43.02,9.52,87.49,N/A,120.95 MM,95.15 K,22477,5,33.00,43.02,0.00,0.0054,0.00
Insight Chain,0.5510,0.3328,- 2.11,- 47.67,N/A,116.43 MM,5.58 MM,1667806,6,17.00,0.4373,-23.91,0.00008939,-53.00
Enjin Coin,0.0243,0.1504,- 17.19,13.77,N/A,115.42 MM,18.89 MM,891189,15,33.00,0.4870,-69.12,0.00003185,-40.37
ThoreCoin,21.26,1159.39,- 80.78,- 98.55,N/A,100.50 MM,110.20 K,2536,6,25.00,1159.39,0.00,0.1464,0.00
THETA,0.1540,0.1130,- 11.80,- 57.31,N/A,98.41 MM,11.92 MM,2433367,13,33.00,0.3099,-63.52,0.00003857,-63.00
Status,0.0618,0.0279,- 21.46,- 70.68,N/A,96.99 MM,20.43 MM,16562690,19,25.00,0.6087,-95.41,0.00004042,-91.27
Golem,0.0151,0.0957,- 30.14,269.71,N/A,92.22 MM,12.41 MM,1123670,27,25.00,1.16,-91.73,0.0003,-95.57
KuCoin Shares,0.6922,1.03,- 31.81,- 48.89,N/A,92.03 MM,9.87 MM,77230,15,25.00,20.61,-95.02,0.0015,-91.11
Walton,1.06,2.20,- 32.30,- 8.39,N/A,91.63 MM,7.07 MM,1525034,17,42.00,43.89,-94.99,0.0038,-92.66
Stratis,0.0138,0.9149,- 21.42,5448.84,N/A,90.87 MM,4.64 MM,2561102,30,25.00,21.21,-95.69,0.0041,-97.18
Cryptonex,2.70,1.61,- 20.50,- 63.67,N/A,89.90 MM,20.26 MM,5565552,16,50.00,10.15,-84.09,0.0009,-76.78
Factom,0.2103,9.09,7.70,2766.19,N/A,86.01 MM,661.69 K,309533,40,33.00,78.37,-88.41,0.0135,-91.50
