Name,Start price,Price,CMGR[$] 3mo,Cum. ROI,Avg. Mkt. Cap,Mkt. Cap,24h Vol,Age (mo),Winning months,Avg. volume,ATH,% fm. ATH,ATH (BTC),% fm. ATH (BTC)
CryCash,0.4764,0.0532,- 19.91,- 91.68,179575,253.53 K,51.43 K,9823,19,50.00,0.7156,-92.56,0.0001,-93.10
Silent Notary,0.00008022,0.00000303,22.99,- 95.53,293601,252.67 K,43.64 K,64330,18,33.00,0.0003,-99.10,0.00000005,-100.00
Relex,0.0042,0.0001,- 9.42,- 96.78,380192,252.28 K,964.13,789,16,42.00,0.0272,-99.51,0.00000418,-99.52
RED,0.2072,0.0019,- 33.48,- 99.13,622613,252.24 K,2.17 K,100900,18,42.00,0.1992,-99.03,0.00002628,-99.01
CryptoBonusMiles,0.0002,0.00008270,- 17.06,- 56.02,345881,248.28 K,117.48 K,101160,3,8.00,0.0005,-84.65,0.00000007,-84.77
On.Live,0.0854,0.0115,- 10.00,- 87.53,251970,248.20 K,529.81,958,17,25.00,0.1705,-93.27,0.00003046,-94.94
Tokes,0.3295,0.1874,31.56,- 45.49,180836,247.86 K,95.38,55,32,42.00,9.66,-98.06,0.0008,-96.84
adbank,0.0388,0.0003,- 9.18,- 99.08,281618,245.89 K,5.05 K,9114,22,33.00,0.0289,-98.79,0.00000314,-98.41
BitCash,0.0870,0.0204,- 13.79,- 76.94,329716,244.61 K,15.61 K,14153,6,0.00,0.1241,-83.54,0.00001461,-81.25
Ties.DB,0.1114,0.0060,3.67,- 93.68,258361,243.10 K,4.00,68,25,58.00,0.6715,-99.11,0.00004895,-98.37
ZMINE,0.0581,0.0015,- 28.26,- 97.50,286646,242.53 K,11.66,298,16,25.00,0.0502,-97.03,0.00000793,-97.48
ALBOS,0.0003,0.00002018,4.19,- 96.95,393208,241.90 K,10.09,26,10,17.00,0.0028,-99.28,0.00000079,-100.00
LALA World,0.1106,0.0010,- 1.49,- 99.13,241080,241.08 K,0.00,0,21,33.00,0.1038,-99.07,0.00001396,-99.07
LoMoCoin,0.0072,0.0008,- 29.90,- 94.40,115944,237.69 K,8.19,0,39,42.00,0.3589,-99.77,0.00004605,-99.76
BiblePay,0.0010,0.0001,- 33.86,- 86.74,441265,236.83 K,4.47 K,5363,27,33.00,0.0128,-99.02,0.00000090,-97.78
Bitex Global XBX Coin,0.0202,0.0012,- 52.14,- 91.30,261877,236.63 K,57.82 K,110613,9,25.00,0.2942,-99.60,0.00003946,-99.59
Eroscoin,0.1120,0.0013,- 13.64,- 98.95,238249,236.33 K,799.50,1039,24,17.00,0.1789,-99.29,0.00001018,-98.33
PUBLISH,0.0016,0.0010,5.47,- 26.20,323064,233.35 K,22.87 K,29690,3,8.00,0.0040,-74.78,0.00000049,-71.53
Mercury,0.0012,0.0023,- 11.98,105.07,306532,230.77 K,326.57,1379,32,42.00,1.18,-99.80,0.00007903,-99.61
ZENZO,0.0340,0.0212,- 10.43,- 24.55,226583,229.95 K,179.06,1713,3,8.00,0.0401,-47.10,0.00000409,-30.23
ZCore,0.0617,0.0402,- 14.44,- 35.77,211941,229.28 K,341.72,1224,16,25.00,0.8253,-95.12,0.0001,-96.00
FujiCoin,0.00000700,0.00009444,- 1.56,1249.07,225448,228.57 K,0.00,0.3214,54,42.00,0.0069,-98.63,0.00000109,-99.09
Bulwark,1.93,0.0153,- 29.07,- 99.22,230288,228.40 K,59.11,257,24,17.00,16.50,-99.91,0.0012,-99.82
VeriumReserve,0.3237,0.0916,- 16.78,- 75.20,286849,227.25 K,710.74,515,39,50.00,17.07,-99.46,0.0016,-99.21
BioCoin,0.0190,0.0003,5.82,- 98.61,171788,226.12 K,0.00,18,22,33.00,0.0174,-98.46,0.00000178,-97.76
Olympus Labs,0.9986,0.0059,- 5.78,- 99.25,300219,225.33 K,349.88,383,23,25.00,3.25,-99.82,0.0002,-99.65
Magi,0.0692,0.0241,- 18.82,- 65.22,231218,223.65 K,0.00,6,62,67.00,1.87,-98.71,0.0001,-97.47
BZEdge,0.0077,0.00007455,- 9.24,- 99.04,252254,223.24 K,834.18,102,6,17.00,0.0077,-99.03,0.00000100,-99.00
Stipend,1.23,0.0195,- 49.08,- 98.36,422411,223.07 K,326.62,263,20,25.00,2.07,-99.06,0.0002,-98.91
Ink Protocol,0.0945,0.0006,- 27.97,- 99.31,269151,221.85 K,35.34 K,86469,21,17.00,0.0717,-99.11,0.00000723,-98.75
FedoraCoin,0.00000421,0.00000104,- 13.21,- 75.36,293368,221.50 K,31.80,280,71,33.00,0.0002,-99.36,0.00000010,-100.00
CREDIT,0.00001645,0.00001037,- 14.34,- 38.66,229579,220.86 K,30.89 K,54579,4,8.00,0.00002741,-62.16,0.00000000,-100.00
Privatix,3.23,0.1996,- 38.44,- 94.59,253299,218.92 K,1.01 K,1709,25,42.00,18.99,-98.95,0.0013,-97.98
TrezarCoin,0.0035,0.0012,- 25.50,- 77.41,164055,218.30 K,945.02,634,26,33.00,0.4830,-99.75,0.00003442,-99.54
Bancacy,0.0028,0.0016,- 13.41,- 40.45,240381,217.80 K,52.41 K,44089,2,0.00,0.0043,-62.04,0.00000052,-57.65
Connect Coin,0.1536,0.0055,- 23.91,- 96.66,441982,216.23 K,1.67 K,4666,7,25.00,0.4953,-98.88,0.00005653,-98.69
Rivetz,0.7347,0.0082,- 6.78,- 98.79,349587,216.08 K,20.82,339,26,25.00,3.37,-99.76,0.0003,-99.65
Alchemint Standards,0.0129,0.0007,- 14.74,- 94.35,298523,214.39 K,4.60 K,4243,16,42.00,0.0136,-95.02,0.00000209,-95.69
Bela,0.0005,0.0048,- 3.37,1328.77,176379,213.90 K,0.7400,582,68,42.00,0.5215,-99.07,0.0002,-99.58
AudioCoin,0.00003739,0.0002,- 10.72,494.41,171474,212.85 K,0.00,10,54,33.00,0.0404,-99.46,0.00000345,-99.13
CoinMetro Token,0.0394,0.0250,- 9.52,- 38.24,232015,212.27 K,4.16 K,10957,4,8.00,0.0496,-49.69,0.00000466,-28.13
RightMesh,0.1401,0.0030,- 32.59,- 97.89,396690,212.22 K,57.75,826,16,42.00,0.1277,-97.66,0.00002012,-98.01
Equal,0.0065,0.0006,- 24.45,- 90.65,204486,210.99 K,1.91 K,2636,22,50.00,0.0111,-94.20,0.00000137,-93.44
Graft,0.0413,0.0004,- 38.57,- 98.93,324034,209.84 K,11.28 K,15738,21,25.00,0.0598,-99.41,0.00000795,-99.37
Crowd Machine,0.0992,0.0004,- 2.26,- 99.52,283067,209.42 K,6.18 K,11993,19,42.00,0.0743,-99.40,0.00001103,-99.46
DopeCoin,0.0024,0.0018,- 3.47,- 38.41,179826,209.00 K,3.77 K,3310,69,42.00,0.2571,-99.30,0.00001818,-98.68
Darcrus,0.0193,0.0152,3.72,- 21.16,206654,206.65 K,0.00,0,35,42.00,0.7319,-97.92,0.0003,-99.20
PiplCoin,0.0245,0.0025,69.77,- 89.41,248567,205.11 K,207.15,236,26,50.00,0.0943,-97.39,0.00001641,-97.99
EverGreenCoin,0.0053,0.0145,- 12.66,147.91,145690,204.59 K,0.00,9,47,50.00,0.7910,-98.17,0.0004,-99.55
Storiqa,0.0033,0.00001863,- 33.32,- 99.43,241003,203.44 K,14.34 K,16350,21,0.00,0.0209,-99.91,0.00000277,-100.00
PlayGame,0.0039,0.0002,- 11.35,- 92.71,265197,202.83 K,745.61,2531,12,17.00,0.0069,-96.86,0.00000190,-98.42
Birdchain,0.0012,0.0013,- 8.63,11.29,403835,202.59 K,17.98 K,30962,4,17.00,0.0157,-91.70,0.00000138,-87.66
PUBLYTO Token,0.0015,0.0001,51.67,- 90.51,227129,201.90 K,3.64 K,2288,8,17.00,0.0024,-94.38,0.00000033,-94.00
WIZBL,0.0656,0.0013,14.18,- 98.10,246880,200.99 K,24.87 K,1641,14,42.00,0.0460,-97.09,0.00000708,-97.46
Matchpool,0.2404,0.0026,- 7.11,- 99.20,142487,195.34 K,447.47,378,32,33.00,1.52,-99.83,0.0006,-99.94
FortKnoxster,0.0081,0.0013,- 32.56,- 83.44,200938,193.20 K,35.51 K,62561,15,58.00,0.0103,-87.48,0.00000158,-89.27
FlypMe,0.0950,0.0109,- 27.11,- 87.05,314301,192.45 K,19.96,128,25,33.00,2.37,-99.54,0.0002,-99.11
EUNO,0.0139,0.0065,- 28.02,- 51.77,184309,192.26 K,595.10,247,16,33.00,0.1108,-94.17,0.00001784,-95.12
Autonio,0.0059,0.0018,- 25.86,- 78.67,201236,191.07 K,43.82,517,25,42.00,0.8534,-99.79,0.00005617,-99.57
LightHouse Token,0.0009,0.0038,5.88,245.89,114913,190.22 K,2.35 K,3749,3,8.00,0.0091,-58.08,0.00000108,-52.66
SmileyCoin,0.00000256,0.00001222,1.43,382.03,452199,189.52 K,0.2700,331,58,42.00,0.0006,-97.88,0.00000020,-100.00
TigerCash,0.0235,0.0187,- 14.75,- 28.40,180692,189.29 K,23.36 MM,19773383,9,25.00,0.0400,-53.31,0.00000708,-64.54
Bitcoin Incognito,0.0564,0.0156,- 8.26,- 73.86,242572,188.83 K,21.82 K,26152,16,33.00,0.6856,-97.73,0.0001,-98.07
CYBR Token,0.0221,0.0050,8.56,- 78.11,292389,188.75 K,396.06,3013,2,0.00,0.2504,-97.99,0.00003331,-97.96
Blockparty (BOXX Token),0.1742,0.0058,- 35.34,- 96.68,226409,187.60 K,0.00,16,14,25.00,0.3047,-98.10,0.00004546,-98.28
Sp8de,0.0003,0.00002386,64.64,- 92.68,91391,185.73 K,6.39,36,17,17.00,0.0004,-93.65,0.00000005,-100.00
PikcioChain,0.3051,0.0037,0.00,- 98.79,184656,184.66 K,0.00,0,18,33.00,0.2517,-98.54,0.00003725,-98.68
Golos,1.56,0.0010,- 35.15,- 99.91,431622,183.93 K,2.13 K,394,36,42.00,0.4701,-99.79,0.0001,-99.88
View,0.0446,0.0052,- 1.52,- 88.52,230515,182.84 K,212.83,294,16,58.00,0.0725,-92.81,0.00000969,-92.78
Blocktix,0.1537,0.0045,7.00,- 97.21,144650,179.80 K,1.24 K,607,28,8.00,2.53,-99.82,0.0002,-99.64
Bayan Token,1.26,0.7528,- 7.87,- 52.63,205114,179.36 K,823.89,248,3,8.00,1.07,-29.56,0.0001,-18.50
Neutron,0.0210,0.0046,3.08,- 78.27,183576,178.63 K,0.00,39,55,42.00,0.9888,-99.54,0.0001,-99.54
Bezop,0.1578,0.0032,- 47.72,- 97.95,261933,177.42 K,1.74 K,1355,21,33.00,0.2793,-98.86,0.00003686,-98.83
Rupiah Token,0.00007034,0.0003,- 76.28,0.8377,45674,175.17 K,0.00,239242,2,17.00,0.0003,0.00,0.00000004,0.00
Wavesbet,0.00000519,0.00000393,- 2.49,- 32.62,204839,174.67 K,59.85 K,51386,3,17.00,0.00001004,-60.90,0.00000000,-100.00
Noir,0.0242,0.0086,- 16.33,- 63.77,200432,173.49 K,0.00,8,12,25.00,0.0786,-89.08,0.00000995,-88.44
Digital Gold,47.66,48.70,- 33.94,- 1.07,0,173.08 K,2.12 MM,2738136,1,0.00,48.70,0.00,0.0066,-0.93
Mithril Ore,21.30,13.50,- 8.19,- 37.00,198148,172.93 K,502.29,428,15,58.00,99.61,-86.44,0.0248,-92.68
Playgroundz,0.4158,0.0061,- 3.83,- 98.54,187656,172.86 K,0.00,154,14,50.00,0.4625,-98.69,0.00007252,-98.88
Matrexcoin,0.0599,0.0100,- 21.24,- 83.14,220060,171.80 K,0.00,186,7,25.00,0.1961,-94.91,0.00002532,-94.71
Utrum,0.0895,0.0026,- 30.73,- 96.14,340565,171.50 K,420.78,764,19,42.00,0.2121,-98.75,0.00003224,-98.88
MFCoin,0.0153,0.0083,- 23.86,- 68.62,126758,171.24 K,19.34,242,7,25.00,0.0259,-68.15,0.00000318,-65.04
Pal Network,0.0403,0.0006,- 15.14,- 98.18,314575,271.43 K,572.48,4116,19,33.00,0.0552,-98.88,0.00000664,-98.79
0xcert,0.0390,0.0008,- 2.51,- 97.14,299718,271.10 K,34.44 K,50572,17,42.00,0.0396,-97.95,0.00000541,-97.97
Local Coin Swap,0.1766,0.0051,- 17.05,- 95.91,346309,269.58 K,13.93 K,13521,16,42.00,0.2003,-97.47,0.00003098,-97.81
SnowGem,0.1222,0.0133,- 26.17,- 88.71,350819,268.14 K,55.45 K,54055,17,33.00,0.2223,-94.03,0.00003331,-94.66
Vision Industry Token,0.0216,0.00008948,- 2.05,- 99.55,482685,267.32 K,0.00,5755,20,42.00,0.0483,-99.81,0.00001235,-99.92
ODUWA,1.16,0.1136,- 13.77,- 90.90,307874,266.95 K,54.14 K,60083,9,25.00,0.5738,-80.20,0.0002,-89.86
Electrify.Asia,0.0519,0.0005,- 20.01,- 98.81,423141,264.74 K,1.47 K,347,21,8.00,0.1942,-99.74,0.00002136,-99.67
Cubiex,0.0429,0.0085,- 4.64,- 79.93,404103,263.89 K,1.49 K,3483,4,17.00,0.0463,-81.56,0.00000486,-76.34
Gems,0.0578,0.0002,- 19.33,- 99.60,359562,262.83 K,1.65 K,10478,21,33.00,0.0405,-99.44,0.00000417,-99.28
TENA,0.1946,0.0983,35.51,- 43.52,300074,262.58 K,21.97 K,17571,11,42.00,0.5952,-83.49,0.00006014,-78.07
HempCoin,0.0001,0.0010,- 39.94,835.21,558050,261.32 K,0.00,50,65,33.00,0.6416,-99.84,0.00004435,-99.68
win.win,0.0025,0.00007444,- 36.69,- 97.04,359672,258.72 K,1.43 K,1474,9,17.00,0.0023,-96.76,0.00000057,-98.25
Internet of People,2.90,0.0192,- 9.84,- 99.34,304499,258.12 K,0.00,185,36,25.00,11.57,-99.83,0.0109,-99.98
Zippie,0.0627,0.0009,- 23.61,- 98.56,297822,257.45 K,801.17,210,19,58.00,0.0720,-98.68,0.00000905,-98.56
KAASO,0.3663,0.0102,- 15.83,- 97.26,696366,257.41 K,18.34 K,15975,2,0.00,7.74,-99.87,0.0010,-99.86
EnergiToken,0.0048,0.0001,- 13.24,- 97.12,239919,256.32 K,0.00,3,17,17.00,0.0062,-97.75,0.00000093,-97.85
HOQU,0.0992,0.0015,- 27.34,- 98.48,284920,255.41 K,22.20 K,44226,21,42.00,0.0714,-97.88,0.00000977,-97.95
Rise,0.0074,0.0018,- 19.42,- 73.21,329830,253.60 K,61.18,167,41,25.00,1.63,-99.89,0.0001,-99.84
CryCash,0.4764,0.0532,- 19.91,- 91.68,179575,253.53 K,51.43 K,9823,19,50.00,0.7156,-92.56,0.0001,-93.10
Silent Notary,0.00008022,0.00000303,22.99,- 95.53,293601,252.67 K,43.64 K,64330,18,33.00,0.0003,-99.10,0.00000005,-100.00
Relex,0.0042,0.0001,- 9.42,- 96.78,380192,252.28 K,964.13,789,16,42.00,0.0272,-99.51,0.00000418,-99.52
RED,0.2072,0.0019,- 33.48,- 99.13,622613,252.24 K,2.17 K,100900,18,42.00,0.1992,-99.03,0.00002628,-99.01
CryptoBonusMiles,0.0002,0.00008270,- 17.06,- 56.02,345881,248.28 K,117.48 K,101160,3,8.00,0.0005,-84.65,0.00000007,-84.77
On.Live,0.0854,0.0115,- 10.00,- 87.53,251970,248.20 K,529.81,958,17,25.00,0.1705,-93.27,0.00003046,-94.94
Tokes,0.3295,0.1874,31.56,- 45.49,180836,247.86 K,95.38,55,32,42.00,9.66,-98.06,0.0008,-96.84
adbank,0.0388,0.0003,- 9.18,- 99.08,281618,245.89 K,5.05 K,9114,22,33.00,0.0289,-98.79,0.00000314,-98.41
BitCash,0.0870,0.0204,- 13.79,- 76.94,329716,244.61 K,15.61 K,14153,6,0.00,0.1241,-83.54,0.00001461,-81.25
Ties.DB,0.1114,0.0060,3.67,- 93.68,258361,243.10 K,4.00,68,25,58.00,0.6715,-99.11,0.00004895,-98.37
ZMINE,0.0581,0.0015,- 28.26,- 97.50,286646,242.53 K,11.66,298,16,25.00,0.0502,-97.03,0.00000793,-97.48
ALBOS,0.0003,0.00002018,4.19,- 96.95,393208,241.90 K,10.09,26,10,17.00,0.0028,-99.28,0.00000079,-100.00
LALA World,0.1106,0.0010,- 1.49,- 99.13,241080,241.08 K,0.00,0,21,33.00,0.1038,-99.07,0.00001396,-99.07
LoMoCoin,0.0072,0.0008,- 29.90,- 94.40,115944,237.69 K,8.19,0,39,42.00,0.3589,-99.77,0.00004605,-99.76
BiblePay,0.0010,0.0001,- 33.86,- 86.74,441265,236.83 K,4.47 K,5363,27,33.00,0.0128,-99.02,0.00000090,-97.78
Bitex Global XBX Coin,0.0202,0.0012,- 52.14,- 91.30,261877,236.63 K,57.82 K,110613,9,25.00,0.2942,-99.60,0.00003946,-99.59
Eroscoin,0.1120,0.0013,- 13.64,- 98.95,238249,236.33 K,799.50,1039,24,17.00,0.1789,-99.29,0.00001018,-98.33
PUBLISH,0.0016,0.0010,5.47,- 26.20,323064,233.35 K,22.87 K,29690,3,8.00,0.0040,-74.78,0.00000049,-71.53
Mercury,0.0012,0.0023,- 11.98,105.07,306532,230.77 K,326.57,1379,32,42.00,1.18,-99.80,0.00007903,-99.61
ZENZO,0.0340,0.0212,- 10.43,- 24.55,226583,229.95 K,179.06,1713,3,8.00,0.0401,-47.10,0.00000409,-30.23
ZCore,0.0617,0.0402,- 14.44,- 35.77,211941,229.28 K,341.72,1224,16,25.00,0.8253,-95.12,0.0001,-96.00
FujiCoin,0.00000700,0.00009444,- 1.56,1249.07,225448,228.57 K,0.00,0.3214,54,42.00,0.0069,-98.63,0.00000109,-99.09
Bulwark,1.93,0.0153,- 29.07,- 99.22,230288,228.40 K,59.11,257,24,17.00,16.50,-99.91,0.0012,-99.82
VeriumReserve,0.3237,0.0916,- 16.78,- 75.20,286849,227.25 K,710.74,515,39,50.00,17.07,-99.46,0.0016,-99.21
BioCoin,0.0190,0.0003,5.82,- 98.61,171788,226.12 K,0.00,18,22,33.00,0.0174,-98.46,0.00000178,-97.76
Olympus Labs,0.9986,0.0059,- 5.78,- 99.25,300219,225.33 K,349.88,383,23,25.00,3.25,-99.82,0.0002,-99.65
Magi,0.0692,0.0241,- 18.82,- 65.22,231218,223.65 K,0.00,6,62,67.00,1.87,-98.71,0.0001,-97.47
BZEdge,0.0077,0.00007455,- 9.24,- 99.04,252254,223.24 K,834.18,102,6,17.00,0.0077,-99.03,0.00000100,-99.00
Stipend,1.23,0.0195,- 49.08,- 98.36,422411,223.07 K,326.62,263,20,25.00,2.07,-99.06,0.0002,-98.91
Ink Protocol,0.0945,0.0006,- 27.97,- 99.31,269151,221.85 K,35.34 K,86469,21,17.00,0.0717,-99.11,0.00000723,-98.75
FedoraCoin,0.00000421,0.00000104,- 13.21,- 75.36,293368,221.50 K,31.80,280,71,33.00,0.0002,-99.36,0.00000010,-100.00
CREDIT,0.00001645,0.00001037,- 14.34,- 38.66,229579,220.86 K,30.89 K,54579,4,8.00,0.00002741,-62.16,0.00000000,-100.00
Privatix,3.23,0.1996,- 38.44,- 94.59,253299,218.92 K,1.01 K,1709,25,42.00,18.99,-98.95,0.0013,-97.98
TrezarCoin,0.0035,0.0012,- 25.50,- 77.41,164055,218.30 K,945.02,634,26,33.00,0.4830,-99.75,0.00003442,-99.54
Bancacy,0.0028,0.0016,- 13.41,- 40.45,240381,217.80 K,52.41 K,44089,2,0.00,0.0043,-62.04,0.00000052,-57.65
Connect Coin,0.1536,0.0055,- 23.91,- 96.66,441982,216.23 K,1.67 K,4666,7,25.00,0.4953,-98.88,0.00005653,-98.69
Rivetz,0.7347,0.0082,- 6.78,- 98.79,349587,216.08 K,20.82,339,26,25.00,3.37,-99.76,0.0003,-99.65
Alchemint Standards,0.0129,0.0007,- 14.74,- 94.35,298523,214.39 K,4.60 K,4243,16,42.00,0.0136,-95.02,0.00000209,-95.69
Bela,0.0005,0.0048,- 3.37,1328.77,176379,213.90 K,0.7400,582,68,42.00,0.5215,-99.07,0.0002,-99.58
AudioCoin,0.00003739,0.0002,- 10.72,494.41,171474,212.85 K,0.00,10,54,33.00,0.0404,-99.46,0.00000345,-99.13
CoinMetro Token,0.0394,0.0250,- 9.52,- 38.24,232015,212.27 K,4.16 K,10957,4,8.00,0.0496,-49.69,0.00000466,-28.13
RightMesh,0.1401,0.0030,- 32.59,- 97.89,396690,212.22 K,57.75,826,16,42.00,0.1277,-97.66,0.00002012,-98.01
Equal,0.0065,0.0006,- 24.45,- 90.65,204486,210.99 K,1.91 K,2636,22,50.00,0.0111,-94.20,0.00000137,-93.44
Graft,0.0413,0.0004,- 38.57,- 98.93,324034,209.84 K,11.28 K,15738,21,25.00,0.0598,-99.41,0.00000795,-99.37
Crowd Machine,0.0992,0.0004,- 2.26,- 99.52,283067,209.42 K,6.18 K,11993,19,42.00,0.0743,-99.40,0.00001103,-99.46
DopeCoin,0.0024,0.0018,- 3.47,- 38.41,179826,209.00 K,3.77 K,3310,69,42.00,0.2571,-99.30,0.00001818,-98.68
Darcrus,0.0193,0.0152,3.72,- 21.16,206654,206.65 K,0.00,0,35,42.00,0.7319,-97.92,0.0003,-99.20
PiplCoin,0.0245,0.0025,69.77,- 89.41,248567,205.11 K,207.15,236,26,50.00,0.0943,-97.39,0.00001641,-97.99
EverGreenCoin,0.0053,0.0145,- 12.66,147.91,145690,204.59 K,0.00,9,47,50.00,0.7910,-98.17,0.0004,-99.55
Storiqa,0.0033,0.00001863,- 33.32,- 99.43,241003,203.44 K,14.34 K,16350,21,0.00,0.0209,-99.91,0.00000277,-100.00
PlayGame,0.0039,0.0002,- 11.35,- 92.71,265197,202.83 K,745.61,2531,12,17.00,0.0069,-96.86,0.00000190,-98.42
Birdchain,0.0012,0.0013,- 8.63,11.29,403835,202.59 K,17.98 K,30962,4,17.00,0.0157,-91.70,0.00000138,-87.66
PUBLYTO Token,0.0015,0.0001,51.67,- 90.51,227129,201.90 K,3.64 K,2288,8,17.00,0.0024,-94.38,0.00000033,-94.00
WIZBL,0.0656,0.0013,14.18,- 98.10,246880,200.99 K,24.87 K,1641,14,42.00,0.0460,-97.09,0.00000708,-97.46
Matchpool,0.2404,0.0026,- 7.11,- 99.20,142487,195.34 K,447.47,378,32,33.00,1.52,-99.83,0.0006,-99.94
FortKnoxster,0.0081,0.0013,- 32.56,- 83.44,200938,193.20 K,35.51 K,62561,15,58.00,0.0103,-87.48,0.00000158,-89.27
FlypMe,0.0950,0.0109,- 27.11,- 87.05,314301,192.45 K,19.96,128,25,33.00,2.37,-99.54,0.0002,-99.11
EUNO,0.0139,0.0065,- 28.02,- 51.77,184309,192.26 K,595.10,247,16,33.00,0.1108,-94.17,0.00001784,-95.12
Autonio,0.0059,0.0018,- 25.86,- 78.67,201236,191.07 K,43.82,517,25,42.00,0.8534,-99.79,0.00005617,-99.57
LightHouse Token,0.0009,0.0038,5.88,245.89,114913,190.22 K,2.35 K,3749,3,8.00,0.0091,-58.08,0.00000108,-52.66
SmileyCoin,0.00000256,0.00001222,1.43,382.03,452199,189.52 K,0.2700,331,58,42.00,0.0006,-97.88,0.00000020,-100.00
TigerCash,0.0235,0.0187,- 14.75,- 28.40,180692,189.29 K,23.36 MM,19773383,9,25.00,0.0400,-53.31,0.00000708,-64.54
Bitcoin Incognito,0.0564,0.0156,- 8.26,- 73.86,242572,188.83 K,21.82 K,26152,16,33.00,0.6856,-97.73,0.0001,-98.07
CYBR Token,0.0221,0.0050,8.56,- 78.11,292389,188.75 K,396.06,3013,2,0.00,0.2504,-97.99,0.00003331,-97.96
Blockparty (BOXX Token),0.1742,0.0058,- 35.34,- 96.68,226409,187.60 K,0.00,16,14,25.00,0.3047,-98.10,0.00004546,-98.28
Sp8de,0.0003,0.00002386,64.64,- 92.68,91391,185.73 K,6.39,36,17,17.00,0.0004,-93.65,0.00000005,-100.00
PikcioChain,0.3051,0.0037,0.00,- 98.79,184656,184.66 K,0.00,0,18,33.00,0.2517,-98.54,0.00003725,-98.68
Golos,1.56,0.0010,- 35.15,- 99.91,431622,183.93 K,2.13 K,394,36,42.00,0.4701,-99.79,0.0001,-99.88
View,0.0446,0.0052,- 1.52,- 88.52,230515,182.84 K,212.83,294,16,58.00,0.0725,-92.81,0.00000969,-92.78
Blocktix,0.1537,0.0045,7.00,- 97.21,144650,179.80 K,1.24 K,607,28,8.00,2.53,-99.82,0.0002,-99.64
Bayan Token,1.26,0.7528,- 7.87,- 52.63,205114,179.36 K,823.89,248,3,8.00,1.07,-29.56,0.0001,-18.50
Neutron,0.0210,0.0046,3.08,- 78.27,183576,178.63 K,0.00,39,55,42.00,0.9888,-99.54,0.0001,-99.54
Bezop,0.1578,0.0032,- 47.72,- 97.95,261933,177.42 K,1.74 K,1355,21,33.00,0.2793,-98.86,0.00003686,-98.83
Rupiah Token,0.00007034,0.0003,- 76.28,0.8377,45674,175.17 K,0.00,239242,2,17.00,0.0003,0.00,0.00000004,0.00
Wavesbet,0.00000519,0.00000393,- 2.49,- 32.62,204839,174.67 K,59.85 K,51386,3,17.00,0.00001004,-60.90,0.00000000,-100.00
Noir,0.0242,0.0086,- 16.33,- 63.77,200432,173.49 K,0.00,8,12,25.00,0.0786,-89.08,0.00000995,-88.44
Digital Gold,47.66,48.70,- 33.94,- 1.07,0,173.08 K,2.12 MM,2738136,1,0.00,48.70,0.00,0.0066,-0.93
Mithril Ore,21.30,13.50,- 8.19,- 37.00,198148,172.93 K,502.29,428,15,58.00,99.61,-86.44,0.0248,-92.68
Playgroundz,0.4158,0.0061,- 3.83,- 98.54,187656,172.86 K,0.00,154,14,50.00,0.4625,-98.69,0.00007252,-98.88
Matrexcoin,0.0599,0.0100,- 21.24,- 83.14,220060,171.80 K,0.00,186,7,25.00,0.1961,-94.91,0.00002532,-94.71
Utrum,0.0895,0.0026,- 30.73,- 96.14,340565,171.50 K,420.78,764,19,42.00,0.2121,-98.75,0.00003224,-98.88
MFCoin,0.0153,0.0083,- 23.86,- 68.62,126758,171.24 K,19.34,242,7,25.00,0.0259,-68.15,0.00000318,-65.04
Lampix,0.0804,0.0008,- 18.95,- 98.95,114050,114.05 K,0.00,0,26,33.00,0.3168,-99.73,0.00002443,-99.55
Carboncoin,0.00000386,0.00000740,- 4.55,91.86,527404,113.90 K,0.00,1,64,33.00,0.0019,-99.61,0.00000012,-100.00
Indorse,0.1991,0.0030,- 33.32,- 98.46,209784,113.09 K,0.00,181,26,42.00,0.3382,-99.11,0.00007144,-99.43
SounDAC,0.0008,0.0077,- 27.30,944.17,78066,112.78 K,0.00,120,55,50.00,2.18,-99.65,0.0005,-99.78
Universe,0.0145,0.0013,- 35.74,- 89.83,112400,112.67 K,15.15,10,32,42.00,0.6420,-99.79,0.00005877,-99.69
Sparkpoint,0.00008384,0.00003407,- 45.87,- 62.69,140238,111.78 K,65.08 K,23895,7,17.00,0.0003,-88.32,0.00000003,-100.00
CatoCoin,0.5815,0.0063,- 28.53,- 98.94,136465,111.75 K,0.1000,21,15,50.00,0.8839,-99.29,0.0001,-99.30
Bridge Protocol,0.0042,0.0005,- 7.09,- 92.01,132331,111.55 K,94.02,4900,16,50.00,0.0055,-91.01,0.00000147,-95.23
Social Send,0.0790,0.0021,- 9.77,- 96.94,110315,110.67 K,8.38,55,24,17.00,1.02,-99.79,0.00007345,-99.62
Invacio,0.2241,0.0038,- 9.40,- 98.37,129221,110.51 K,2.51 K,3847,18,50.00,0.1140,-96.70,0.00001767,-97.11
Dynamite,0.2302,0.4046,11.42,77.56,105219,109.76 K,172.12 K,155187,3,25.00,1.10,-63.25,0.0001,-62.79
Coinchase,0.00008246,0.00006732,22.22,- 8.32,171022,107.34 K,193.06,14755,4,17.00,0.0002,-58.59,0.00000002,-42.82
Emerald Crypto,0.0063,0.0056,48.85,217.31,102936,107.28 K,2.11,1,76,42.00,0.0604,-90.71,0.00005000,-98.50
