Name,Start price,Price,CMGR[$] 3mo,Cum. ROI,Avg. Mkt. Cap,Mkt. Cap,24h Vol,Age (mo),Winning months,Avg. volume,ATH,% fm. ATH,ATH (BTC),% fm. ATH (BTC)
Newton,0.0090,0.0022,- 4.48,- 73.80,38320000,26.88 MM,2.62 MM,3980980,8,33.00,0.0072,-68.85,0.00000132,-77.35
Ignis,2.09,0.0351,5.61,- 98.16,27507817,26.72 MM,2.61 MM,3072688,24,33.00,17.71,-99.80,0.0013,-99.64
WaykiChain,0.9504,0.1407,- 0.44,- 84.97,24659964,26.59 MM,21.49 MM,1028459,23,50.00,2.83,-95.03,0.0003,-93.71
Factom,0.2103,2.78,- 9.47,1167.20,26568254,26.32 MM,69.46 K,77017,50,42.00,78.37,-96.45,0.0135,-97.23
Decentraland,0.0258,0.0246,- 11.97,- 6.75,28967360,25.80 MM,5.39 MM,4849002,27,42.00,0.2697,-90.89,0.00002370,-86.07
Bitcoin 2,0.1277,1.46,5.03,1219.76,26892216,25.39 MM,3.79 K,2309,6,25.00,26.43,-94.47,0.0035,-94.35
Beam,0.5811,0.5239,- 25.87,- 12.93,27829940,25.27 MM,33.02 MM,37309873,11,33.00,3.11,-83.17,0.0009,-91.92
Aion,0.6160,0.0697,- 3.55,- 89.35,28438080,25.27 MM,2.26 MM,1466285,26,33.00,11.10,-99.37,0.0008,-98.77
Dynamic Trading Rights,0.0188,0.0160,- 12.30,- 6.16,33789012,24.34 MM,81.00 K,64981,23,42.00,0.2328,-93.11,0.00001613,-86.67
Lambda,0.0067,0.0334,- 39.63,375.18,29918604,24.12 MM,52.49 MM,74529748,11,58.00,0.2713,-87.71,0.00002996,-85.05
Ripio Credit Network,0.0635,0.0470,51.02,- 23.93,23737690,23.94 MM,2.37 MM,2718396,25,42.00,0.4899,-90.40,0.00003354,-81.19
Fantom,0.0145,0.0125,- 14.43,- 18.63,22873652,22.70 MM,3.17 MM,3796373,13,50.00,0.0387,-67.65,0.00000487,-65.53
Tratin,0.0014,0.0002,12.27,- 81.03,17448883,22.55 MM,140.61,11,6,8.00,0.0025,-91.84,0.00000027,-88.89
Qubitica,2.71,27.85,- 5.55,904.05,25323728,22.52 MM,99.83 K,100498,15,58.00,69.40,-59.88,0.0063,-40.50
FunFair,0.0174,0.0034,3.65,- 83.49,22352900,22.48 MM,1.50 MM,554012,29,33.00,0.1863,-98.16,0.00001227,-96.25
Bit-Z Token,0.2891,0.1710,- 6.80,- 38.28,31542335,22.43 MM,8.85 MM,12410553,17,58.00,0.2815,-39.24,0.00004533,-49.32
YOU COIN,0.0278,0.0510,- 13.46,83.43,23855303,22.28 MM,18.49 MM,8180805,16,67.00,0.1105,-53.88,0.00001097,-37.64
XMax,0.0032,0.0012,- 8.78,- 60.66,29284230,22.17 MM,218.77 MM,219599034,18,50.00,0.0063,-80.44,0.00000057,-70.10
Hedera Hashgraph,0.2096,0.0228,- 13.84,- 88.28,20623974,22.00 MM,3.39 MM,2311845,3,0.00,0.0423,-46.09,0.00000517,-40.78
Bread,1.55,0.2478,3.16,- 82.61,27269116,21.99 MM,893.37 K,1087332,23,42.00,3.29,-92.47,0.0002,-83.50
Hyperion,0.0321,0.0694,4.64,107.75,20862366,21.99 MM,416.65 K,416562,11,42.00,0.1274,-45.51,0.00001130,-17.52
