Name,MC #,Symbol,Price,BTC,1h,24h,7d,14d,30d,45d,90d,200d,Mkt. Cap
Phonecoin,1351,,PHON,0.0010,0.00000012,-0.77,52.46,34.36,-69.26,-88.89,-95.03,-99.46,
Phantomx,1465,,PNX,0.0006,0.00000007,0.02,50.80,70.15,23.62,174.41,85.89,-26.93,-67.67
InsaneCoin,1242,,INSN,0.0055,0.00000069,0.20,0.28,17.41,142.00,71.37,158.03,-13.73,-76.10
Pakcoin,1084,,PAK,0.0040,0.00000050,0.00,0.00000000,79.44,"1,113",886.65,487.43,126.14,51.92
HomeBlockCoin,1556,,HBC,0.0009,0.00000026,-0.48,0.16,-21.39,0.80,-76.92,-78.34,-88.51,-94.31
BitKan,209,,KAN,0.0043,0.00000055,-1.17,-0.54,18.35,221.01,140.43,117.82,41.21,
SONDER,1332,,SNR,0.0004,0.00000005,0.22,17.00,78.88,45.28,9.50,-26.51,-77.26,
Lightning Bitcoin,169,,LBTC,5.99,0.00075670,-0.99,6.27,2.12,303.52,162.30,125.05,12.93,-43.87
Aigang,1116,,AIX,0.0081,0.00000102,0.08,4.61,8.78,24.03,10.01,-24.35,-58.07,-90.33
DWS,1616,,DWS,0.0012,0.00000015,0.71,3.79,-1.91,-75.05,-75.83,-60.98,-86.46,-99.32
Buggyra Coin Zero,121,,BCZERO,0.0191,0.00000241,-0.23,3.03,30.30,-22.14,-59.14,-48.38,130.94,
Trittium,895,,TRTT,0.0061,0.00000078,-0.12,20.98,4.74,-20.92,-13.10,27.88,-43.78,-73.30
RED,831,,RED,0.0071,0.00000090,-1.16,2.63,8.44,14.50,6.19,-5.11,-54.76,-82.14
Bettex Coin,997,,BTXC,0.0751,0.00000948,-4.31,-19.01,-4.53,-21.30,-33.79,-50.21,-31.53,
Numus,1325,,NMS,0.0253,0.00000733,0.00,0.00000000,97.47,98.92,51.04,34.79,-57.54,-82.25
Help The Homeless Coin,1299,,HTH,0.00007902,0.00000001,-0.12,-2.80,29.56,119.51,-2.13,-1.05,-59.36,
OBXcoin,1614,,OBX,0.00006899,0.00000002,-0.48,-0.30,-32.95,-61.33,-65.54,-67.27,-93.18,
MEX,1615,,MEX,0.0009,0.00000011,0.88,-3.74,-23.15,163.67,74.93,86.82,-28.75,
Ixcoin,1074,,IXC,0.0137,0.00000173,-0.11,-11.34,8.26,-14.60,-16.35,-41.64,-51.42,-71.78
FuturoCoin,1612,,FTO,1.50,0.00018950,-0.27,10.08,3.98,-74.02,-71.62,-78.85,-83.94,-86.37
