Name,Price,2% of Avg. YoY Bitcoin growth (2010-'16),10% of Avg. YoY Bitcoin growth (2010-'16),50% of Avg. Bitcoin YoY growth (2010-'16),Avg. YoY growth of The Internet (1995-2017),Avg. YoY growth of The Mobile Phone (1993-2013),Avg. YoY growth of Google (2000-'15),Avg. YoY growth of Facebook (2004-'16),4% Worldwide M0 money flows into the crypto market,4% Worldwide M1 money flows into the crypto market,4% Worldwide M2 money flows into the crypto market
CasinoCoin,0.0010,0.0002,0.0002,0.0004,0.0002,0.0002,0.0003,0.0004,0.0004,0.0023,0.0058
Energi,2.41,0.6476,0.7707,1.39,0.7964,0.7896,0.9628,1.37,1.45,8.16,20.65
Buggyra Coin Zero,0.0191,0.0135,0.0160,0.0288,0.0166,0.0164,0.0200,0.0285,0.0302,0.1699,0.4296
Centrality,0.0471,0.0372,0.0443,0.0796,0.0457,0.0453,0.0553,0.0786,0.0834,0.4688,1.19
PIVX,0.6688,0.6731,0.8010,1.44,0.8277,0.8207,1.00,1.42,1.51,8.49,21.46
ODEM,0.1626,0.2245,0.2671,0.4804,0.2760,0.2737,0.3337,0.4743,0.5035,2.83,7.16
ProximaX,0.0061,0.0029,0.0034,0.0061,0.0035,0.0035,0.0043,0.0061,0.0064,0.0362,0.0916
Spectre.ai Dividend Token,0.4481,0.1738,0.2068,0.3719,0.2137,0.2119,0.2583,0.3672,0.3898,2.19,5.54
TomoChain,0.6120,0.3538,0.4210,0.7571,0.4350,0.4313,0.5259,0.7475,0.7936,4.46,11.28
Kin,0.00004834,0.00002749,0.00003272,0.00005884,0.00003380,0.00003352,0.00004087,0.00005809,0.00006167,0.0003,0.0009
IoTeX,0.0104,0.0071,0.0084,0.0151,0.0087,0.0086,0.0105,0.0149,0.0158,0.0889,0.2248
STASIS EURS,1.13,1.18,1.40,2.52,1.45,1.43,1.75,2.48,2.64,14.82,37.49
Storj,0.2648,0.1442,0.1716,0.3085,0.1773,0.1758,0.2143,0.3046,0.3234,1.82,4.60
Enigma,0.4764,0.2698,0.3211,0.5775,0.3318,0.3290,0.4012,0.5702,0.6053,3.40,8.60
Bibox Token,0.3133,0.1267,0.1508,0.2712,0.1558,0.1545,0.1884,0.2677,0.2842,1.60,4.04
EDUCare,0.0512,0.0080,0.0096,0.0172,0.0099,0.0098,0.0120,0.0170,0.0180,0.1013,0.2563
SysCoin,0.0594,0.0441,0.0525,0.0944,0.0542,0.0538,0.0656,0.0932,0.0989,0.5560,1.41
Unobtanium,163.94,72.37,86.13,154.89,88.99,88.24,107.59,152.92,162.35,912.38,2307.47
Groestlcoin,0.4376,0.1981,0.2358,0.4241,0.2437,0.2416,0.2946,0.4187,0.4445,2.50,6.32
Ecoreal Estate,0.1511,0.0740,0.0880,0.1583,0.0909,0.0902,0.1099,0.1563,0.1659,0.9323,2.36
Obyte,45.87,31.40,37.37,67.20,38.61,38.28,46.68,66.34,70.44,395.84,1001.11
CyberMiles,0.0389,0.0241,0.0287,0.0516,0.0297,0.0294,0.0359,0.0510,0.0541,0.3041,0.7690
RIF Token,0.0709,0.0989,0.1177,0.2116,0.1216,0.1206,0.1470,0.2089,0.2218,1.25,3.15
TenX,0.2682,0.2511,0.2989,0.5375,0.3088,0.3062,0.3733,0.5306,0.5634,3.17,8.01
Mainframe,0.0040,0.0031,0.0037,0.0067,0.0039,0.0038,0.0047,0.0066,0.0070,0.0395,0.0999
Lambda,0.0599,0.0132,0.0157,0.0282,0.0162,0.0161,0.0196,0.0278,0.0296,0.1661,0.4201
Linkey,0.5975,0.8203,0.9762,1.76,1.01,1.00,1.22,1.73,1.84,10.34,26.16
UTRUST,0.0658,0.0221,0.0263,0.0474,0.0272,0.0270,0.0329,0.0468,0.0497,0.2791,0.7057
Gas,2.86,2.02,2.40,4.32,2.48,2.46,3.00,4.27,4.53,25.46,64.40
Fusion,0.9365,0.3157,0.3757,0.6756,0.3882,0.3849,0.4693,0.6670,0.7082,3.98,10.06
C20,0.6947,0.3731,0.4440,0.7985,0.4588,0.4549,0.5547,0.7883,0.8369,4.70,11.90
Cortex,0.1866,0.1078,0.1283,0.2307,0.1326,0.1314,0.1603,0.2278,0.2418,1.36,3.44
Civic,0.0813,0.0487,0.0579,0.1041,0.0598,0.0593,0.0723,0.1028,0.1092,0.6134,1.55
Skycoin,1.83,0.9500,1.13,2.03,1.17,1.16,1.41,2.01,2.13,11.98,30.29
Gemini Dollar,0.9993,1.05,1.25,2.24,1.29,1.28,1.56,2.21,2.35,13.19,33.36
