Name,Price,2% of Avg. YoY Bitcoin growth (2010-'16),10% of Avg. YoY Bitcoin growth (2010-'16),50% of Avg. Bitcoin YoY growth (2010-'16),Avg. YoY growth of The Internet (1995-2017),Avg. YoY growth of The Mobile Phone (1993-2013),Avg. YoY growth of Google (2000-'15),Avg. YoY growth of Facebook (2004-'16),4% Worldwide M0 money flows into the crypto market,4% Worldwide M1 money flows into the crypto market,4% Worldwide M2 money flows into the crypto market
SmileyCoin,0.00001762,0.00001133,0.00001349,0.00002425,0.00001393,0.00001382,0.00001685,0.00002394,0.00002542,0.0001,0.0004
BetterBetting,0.0025,0.0031,0.0037,0.0067,0.0038,0.0038,0.0046,0.0066,0.0070,0.0392,0.0991
Golfcoin,0.00001954,0.00003646,0.00004339,0.00007803,0.00004483,0.00004445,0.00005420,0.00007704,0.00008179,0.0005,0.0012
SiaCashCoin,0.00005726,0.00006086,0.00007242,0.0001,0.00007483,0.00007420,0.00009047,0.0001,0.0001,0.0008,0.0019
Arbidex,0.0223,0.0368,0.0438,0.0788,0.0453,0.0449,0.0547,0.0778,0.0826,0.4639,1.17
White Standard,1.03,0.8172,0.9725,1.75,1.00,0.9965,1.21,1.73,1.83,10.30,26.06
Mao Zedong,0.0717,0.0331,0.0394,0.0709,0.0407,0.0404,0.0493,0.0700,0.0743,0.4178,1.06
Zero,0.0759,0.0792,0.0942,0.1695,0.0974,0.0966,0.1177,0.1673,0.1776,0.9983,2.52
Nerva,0.0283,0.0328,0.0390,0.0702,0.0403,0.0400,0.0488,0.0693,0.0736,0.4137,1.05
Pesetacoin,0.0032,0.0021,0.0025,0.0045,0.0026,0.0026,0.0031,0.0044,0.0047,0.0265,0.0670
Cryptonite,0.0006,0.0004,0.0004,0.0008,0.0004,0.0004,0.0005,0.0008,0.0008,0.0046,0.0116
Digital Insurance Token,0.0020,0.0008,0.0009,0.0017,0.0010,0.0010,0.0012,0.0017,0.0018,0.0099,0.0249
ZCore,0.1167,0.1813,0.2157,0.3880,0.2229,0.2210,0.2695,0.3831,0.4067,2.29,5.78
Dinastycoin,0.0002,0.0001,0.0001,0.0002,0.0001,0.0001,0.0002,0.0002,0.0002,0.0014,0.0035
Relex,0.0003,0.0002,0.0002,0.0004,0.0002,0.0002,0.0003,0.0004,0.0004,0.0024,0.0061
ClearPoll,0.0624,0.1063,0.1265,0.2275,0.1307,0.1296,0.1581,0.2246,0.2385,1.34,3.39
Freyrchain,0.0009,0.0006,0.0007,0.0013,0.0008,0.0008,0.0009,0.0013,0.0014,0.0078,0.0198
Zetacoin,0.0025,0.0015,0.0018,0.0032,0.0018,0.0018,0.0022,0.0032,0.0034,0.0189,0.0478
Sumokoin,0.0425,0.0265,0.0315,0.0566,0.0325,0.0323,0.0393,0.0559,0.0593,0.3335,0.8434
FoodCoin,0.0011,0.0011,0.0013,0.0024,0.0014,0.0014,0.0017,0.0024,0.0025,0.0142,0.0358
Travelflex,0.0054,0.0071,0.0084,0.0151,0.0087,0.0086,0.0105,0.0149,0.0158,0.0889,0.2249
Alchemint Standards,0.0013,0.0026,0.0031,0.0056,0.0032,0.0032,0.0039,0.0055,0.0058,0.0328,0.0830
Equal,0.0010,0.0008,0.0010,0.0018,0.0010,0.0010,0.0013,0.0018,0.0019,0.0107,0.0270
Bettex Coin,0.0751,0.0831,0.0989,0.1778,0.1022,0.1013,0.1235,0.1756,0.1864,1.05,2.65
EventChain,0.0134,0.0132,0.0157,0.0282,0.0162,0.0161,0.0196,0.0279,0.0296,0.1662,0.4203
DogeCash,0.1152,0.0436,0.0519,0.0933,0.0536,0.0532,0.0648,0.0921,0.0978,0.5497,1.39
FSBT API Token,0.1179,0.1393,0.1657,0.2981,0.1713,0.1698,0.2071,0.2943,0.3124,1.76,4.44
Bethereum,0.0011,0.0013,0.0016,0.0028,0.0016,0.0016,0.0019,0.0028,0.0029,0.0165,0.0418
Pigeoncoin,0.0002,0.00007241,0.00008617,0.0002,0.00008904,0.00008829,0.0001,0.0002,0.0002,0.0009,0.0023
Photon,0.00001434,0.00000969,0.00001153,0.00002074,0.00001192,0.00001182,0.00001441,0.00002048,0.00002174,0.0001,0.0003
Stronghold USD,1.01,1.06,1.27,2.28,1.31,1.30,1.58,2.25,2.39,13.41,33.91
Kind Ads Token,0.0096,0.0200,0.0238,0.0429,0.0246,0.0244,0.0298,0.0423,0.0449,0.2524,0.6384
Atonomi,0.0008,0.0010,0.0012,0.0021,0.0012,0.0012,0.0014,0.0021,0.0022,0.0123,0.0310
Ethbits,0.2459,0.1927,0.2294,0.4125,0.2370,0.2350,0.2865,0.4073,0.4324,2.43,6.15
Woodcoin,0.0500,0.0525,0.0625,0.1124,0.0646,0.0640,0.0781,0.1109,0.1178,0.6619,1.67
BitBar,9.64,7.35,8.74,15.72,9.03,8.96,10.92,15.52,16.48,92.61,234.22
SRCOIN,0.00007825,0.00008507,0.0001,0.0002,0.0001,0.0001,0.0001,0.0002,0.0002,0.0011,0.0027
Mindexcoin,0.0167,0.0357,0.0425,0.0764,0.0439,0.0435,0.0531,0.0755,0.0801,0.4502,1.14
HeroNode,0.0004,0.0004,0.0005,0.0009,0.0005,0.0005,0.0006,0.0009,0.0009,0.0053,0.0133
GoByte,0.1074,0.1329,0.1582,0.2845,0.1635,0.1621,0.1976,0.2809,0.2982,1.68,4.24
WABnetwork,0.00003876,0.00007264,0.00008645,0.0002,0.00008933,0.00008857,0.0001,0.0002,0.0002,0.0009,0.0023
Knoxstertoken,0.0027,0.0020,0.0024,0.0043,0.0025,0.0025,0.0030,0.0043,0.0045,0.0254,0.0643
View,0.0110,0.0065,0.0077,0.0139,0.0080,0.0079,0.0096,0.0137,0.0145,0.0817,0.2067
Anoncoin,0.1824,0.6084,0.7240,1.30,0.7481,0.7418,0.9044,1.29,1.36,7.67,19.40
Sharechain,0.0002,0.0002,0.0002,0.0003,0.0002,0.0002,0.0002,0.0003,0.0004,0.0020,0.0051
Ubcoin Market,0.0011,0.0023,0.0027,0.0048,0.0028,0.0027,0.0033,0.0048,0.0051,0.0284,0.0718
ERC20,0.0549,0.1176,0.1399,0.2516,0.1446,0.1434,0.1748,0.2484,0.2638,1.48,3.75
Freicoin,0.0118,0.0051,0.0061,0.0109,0.0063,0.0062,0.0076,0.0108,0.0115,0.0644,0.1628
Pylon Network,0.9151,0.7959,0.9472,1.70,0.9787,0.9705,1.18,1.68,1.79,10.03,25.38
Goodomy,0.0006,0.0006,0.0007,0.0012,0.0007,0.0007,0.0008,0.0012,0.0013,0.0070,0.0178
Bullion,0.3697,0.3881,0.4619,0.8307,0.4773,0.4733,0.5770,0.8201,0.8707,4.89,12.38
SyncFab,0.0021,0.0013,0.0016,0.0028,0.0016,0.0016,0.0019,0.0028,0.0029,0.0165,0.0418
Banyan Network,0.0006,0.0012,0.0014,0.0025,0.0014,0.0014,0.0017,0.0025,0.0026,0.0148,0.0375
JET8,0.0005,0.0007,0.0009,0.0016,0.0009,0.0009,0.0011,0.0015,0.0016,0.0092,0.0233
Vulcano,0.0018,0.0038,0.0045,0.0081,0.0046,0.0046,0.0056,0.0080,0.0084,0.0475,0.1201
Proton Token,0.0002,0.0001,0.0001,0.0002,0.0001,0.0001,0.0002,0.0002,0.0002,0.0014,0.0035
PKG Token,0.00004132,0.00000737,0.00000877,0.00001577,0.00000906,0.00000898,0.00001095,0.00001557,0.00001653,0.00009287,0.0002
Bigbom,0.0011,0.0006,0.0007,0.0013,0.0007,0.0007,0.0009,0.0013,0.0013,0.0075,0.0191
WandX,0.0301,0.0231,0.0275,0.0495,0.0284,0.0282,0.0344,0.0488,0.0519,0.2914,0.7370
HyperQuant,0.0049,0.0031,0.0036,0.0065,0.0038,0.0037,0.0045,0.0065,0.0069,0.0385,0.0974
BiblePay,0.0002,0.0002,0.0003,0.0005,0.0003,0.0003,0.0003,0.0005,0.0005,0.0028,0.0072
Decentralized Machine Learning,0.0058,0.0030,0.0035,0.0063,0.0036,0.0036,0.0044,0.0063,0.0066,0.0373,0.0944
AirWire,0.0030,0.0062,0.0074,0.0133,0.0077,0.0076,0.0093,0.0132,0.0140,0.0786,0.1988
AdHIve,0.0027,0.0022,0.0026,0.0047,0.0027,0.0027,0.0032,0.0046,0.0049,0.0275,0.0695
Megacoin,0.0094,0.0028,0.0034,0.0060,0.0035,0.0034,0.0042,0.0060,0.0063,0.0356,0.0901
Block Array,0.0052,0.0124,0.0147,0.0265,0.0152,0.0151,0.0184,0.0262,0.0278,0.1562,0.3950
HEROcoin,0.0024,0.0049,0.0058,0.0104,0.0060,0.0059,0.0072,0.0103,0.0109,0.0612,0.1547
VeriumReserve,0.1647,0.3352,0.3989,0.7174,0.4122,0.4087,0.4983,0.7083,0.7520,4.23,10.69
GravityCoin,0.1744,0.1879,0.2236,0.4021,0.2310,0.2291,0.2793,0.3970,0.4215,2.37,5.99
Bee Token,0.0015,0.0036,0.0043,0.0077,0.0044,0.0044,0.0054,0.0076,0.0081,0.0454,0.1149
Bitzeny,0.0046,0.0043,0.0051,0.0091,0.0052,0.0052,0.0063,0.0090,0.0095,0.0536,0.1356
PRASM,0.0002,0.0003,0.0003,0.0006,0.0003,0.0003,0.0004,0.0006,0.0006,0.0033,0.0084
Centauri,0.0088,0.0199,0.0236,0.0425,0.0244,0.0242,0.0295,0.0420,0.0445,0.2503,0.6331
PopularCoin,0.00008828,0.00007243,0.00008620,0.0002,0.00008907,0.00008832,0.0001,0.0002,0.0002,0.0009,0.0023
Stipend,0.0313,0.0900,0.1071,0.1927,0.1107,0.1098,0.1338,0.1902,0.2019,1.13,2.87
Fire Lotto,0.0125,0.0269,0.0320,0.0575,0.0331,0.0328,0.0400,0.0568,0.0603,0.3389,0.8572
Condominium,0.0002,0.0003,0.0003,0.0005,0.0003,0.0003,0.0004,0.0005,0.0006,0.0032,0.0081
Cpollo,0.00003808,0.00003998,0.00004758,0.00008556,0.00004916,0.00004875,0.00005943,0.00008447,0.00008968,0.0005,0.0013
Birake,0.0059,0.0287,0.0341,0.0614,0.0353,0.0350,0.0427,0.0606,0.0644,0.3617,0.9147
HyperStake,0.0002,0.0002,0.0002,0.0004,0.0002,0.0002,0.0003,0.0004,0.0004,0.0023,0.0058
Webchain,0.0031,0.0015,0.0018,0.0032,0.0018,0.0018,0.0022,0.0031,0.0033,0.0187,0.0473
GoldMint,0.1755,0.2762,0.3287,0.5911,0.3396,0.3367,0.4106,0.5835,0.6195,3.48,8.81
BioCoin,0.0004,0.0003,0.0004,0.0007,0.0004,0.0004,0.0005,0.0007,0.0007,0.0041,0.0104
Dash Green,0.2043,0.2930,0.3487,0.6271,0.3603,0.3573,0.4356,0.6191,0.6573,3.69,9.34
TENA,0.1317,0.0525,0.0625,0.1123,0.0645,0.0640,0.0780,0.1109,0.1177,0.6616,1.67
Mithril Ore,25.18,23.79,28.31,50.91,29.25,29.00,35.36,50.26,53.36,299.87,758.39
EXMR,0.0270,0.0140,0.0167,0.0300,0.0172,0.0171,0.0208,0.0296,0.0314,0.1766,0.4467
AudioCoin,0.0003,0.0003,0.0004,0.0007,0.0004,0.0004,0.0005,0.0007,0.0007,0.0040,0.0102
BlueCoin,0.0006,0.0008,0.0009,0.0016,0.0009,0.0009,0.0011,0.0016,0.0017,0.0096,0.0243
Ethorse,0.0028,0.0051,0.0061,0.0109,0.0063,0.0062,0.0076,0.0108,0.0115,0.0644,0.1628
Seal Network,0.0006,0.0012,0.0014,0.0025,0.0015,0.0014,0.0018,0.0025,0.0027,0.0150,0.0378
Spectiv,0.0010,0.0010,0.0012,0.0021,0.0012,0.0012,0.0015,0.0021,0.0022,0.0123,0.0312
AB-CHAIN,0.0162,0.0170,0.0202,0.0363,0.0209,0.0207,0.0252,0.0358,0.0381,0.2139,0.5409
Neutron,0.0079,0.0062,0.0074,0.0133,0.0076,0.0076,0.0092,0.0131,0.0139,0.0782,0.1978
Daneel,0.0059,0.0073,0.0087,0.0156,0.0090,0.0089,0.0109,0.0154,0.0164,0.0921,0.2328
Aditus,0.0013,0.0007,0.0008,0.0015,0.0009,0.0009,0.0011,0.0015,0.0016,0.0090,0.0228
Magi,0.0355,0.0108,0.0128,0.0230,0.0132,0.0131,0.0160,0.0227,0.0241,0.1356,0.3429
PoSW Coin,0.0070,0.0044,0.0053,0.0094,0.0054,0.0054,0.0066,0.0093,0.0099,0.0556,0.1407
AdCoin,0.0196,0.0121,0.0144,0.0258,0.0148,0.0147,0.0179,0.0255,0.0271,0.1520,0.3845
XOVBank,0.0025,0.0016,0.0019,0.0035,0.0020,0.0020,0.0024,0.0034,0.0036,0.0203,0.0514
BlockMesh,0.0034,0.0026,0.0031,0.0055,0.0032,0.0031,0.0038,0.0054,0.0058,0.0324,0.0820
imbrex,0.0351,0.0209,0.0249,0.0448,0.0257,0.0255,0.0311,0.0442,0.0470,0.2640,0.6676
Block-Logic,0.0132,0.0245,0.0291,0.0524,0.0301,0.0299,0.0364,0.0518,0.0549,0.3088,0.7810
Iungo,0.0076,0.0058,0.0069,0.0124,0.0071,0.0071,0.0086,0.0123,0.0130,0.0732,0.1850
Bridge Protocol,0.0013,0.0022,0.0026,0.0047,0.0027,0.0027,0.0033,0.0046,0.0049,0.0276,0.0698
Bonpay,0.0265,0.0198,0.0235,0.0423,0.0243,0.0241,0.0294,0.0418,0.0444,0.2493,0.6305
Bitradio,0.0397,0.0180,0.0214,0.0384,0.0221,0.0219,0.0267,0.0380,0.0403,0.2265,0.5727
TeslaCoin,0.0038,0.0040,0.0047,0.0085,0.0049,0.0048,0.0059,0.0084,0.0089,0.0498,0.1261
Obsidian,0.0044,0.0036,0.0043,0.0078,0.0045,0.0044,0.0054,0.0077,0.0081,0.0457,0.1155
StrongHands Masternode,0.2448,0.3438,0.4091,0.7358,0.4227,0.4192,0.5111,0.7264,0.7712,4.33,10.96
FlypMe,0.0164,0.0109,0.0129,0.0233,0.0134,0.0132,0.0162,0.0230,0.0244,0.1370,0.3464
Shard,0.0198,0.0240,0.0286,0.0514,0.0295,0.0293,0.0357,0.0507,0.0539,0.3027,0.7656
Ixcoin,0.0137,0.0091,0.0108,0.0194,0.0111,0.0111,0.0135,0.0192,0.0203,0.1143,0.2890
Galactrum,0.0798,0.0420,0.0500,0.0898,0.0516,0.0512,0.0624,0.0887,0.0942,0.5292,1.34
VeriME,0.0016,0.0019,0.0023,0.0041,0.0024,0.0024,0.0029,0.0041,0.0043,0.0244,0.0617
Moin,0.0341,0.0111,0.0132,0.0237,0.0136,0.0135,0.0165,0.0234,0.0249,0.1397,0.3533
IP Exchange,0.0003,0.0007,0.0008,0.0015,0.0008,0.0008,0.0010,0.0014,0.0015,0.0086,0.0217
Lobstex,0.0176,0.0083,0.0099,0.0178,0.0102,0.0102,0.0124,0.0176,0.0187,0.1050,0.2656
UltraNote Coin,0.00007902,0.00006326,0.00007528,0.0001,0.00007779,0.00007713,0.00009404,0.0001,0.0001,0.0008,0.0020
QubitCoin,0.0008,0.0009,0.0010,0.0019,0.0011,0.0011,0.0013,0.0018,0.0020,0.0110,0.0278
Trollcoin,0.0005,0.0005,0.0006,0.0011,0.0006,0.0006,0.0008,0.0011,0.0012,0.0066,0.0168
ATMChain,0.00005927,0.00007243,0.00008620,0.0002,0.00008907,0.00008832,0.0001,0.0002,0.0002,0.0009,0.0023
PENG,0.00004199,0.00007037,0.00008374,0.0002,0.00008653,0.00008580,0.0001,0.0001,0.0002,0.0009,0.0022
HOdlcoin,0.0012,0.0004,0.0005,0.0009,0.0005,0.0005,0.0006,0.0008,0.0009,0.0050,0.0127
Pakcoin,0.0040,0.0006,0.0007,0.0012,0.0007,0.0007,0.0008,0.0012,0.0013,0.0072,0.0182
Bitclave,0.0005,0.0005,0.0006,0.0011,0.0006,0.0006,0.0008,0.0011,0.0011,0.0064,0.0162
Parkgene,0.0009,0.0010,0.0011,0.0021,0.0012,0.0012,0.0014,0.0020,0.0022,0.0121,0.0306
Webcoin,0.0075,0.0043,0.0051,0.0091,0.0052,0.0052,0.0063,0.0090,0.0095,0.0536,0.1355
Devery,0.0043,0.0081,0.0096,0.0173,0.0099,0.0098,0.0120,0.0170,0.0181,0.1017,0.2573
BBSCoin,0.00000328,0.00000506,0.00000602,0.00001083,0.00000622,0.00000617,0.00000752,0.00001069,0.00001135,0.00006381,0.0002
Fidelium,0.0022,0.0024,0.0028,0.0050,0.0029,0.0029,0.0035,0.0050,0.0053,0.0296,0.0750
Nerves,0.00008016,0.00002700,0.00003213,0.00005778,0.00003320,0.00003292,0.00004014,0.00005705,0.00006057,0.0003,0.0009
PutinCoin,0.0004,0.0002,0.0002,0.0004,0.0002,0.0002,0.0003,0.0004,0.0004,0.0023,0.0058
NobleCoin,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0002,0.0002,0.0003,0.0015,0.0037
EUNO,0.0120,0.0272,0.0324,0.0583,0.0335,0.0332,0.0405,0.0576,0.0611,0.3435,0.8687
Bitswift,0.0669,0.0703,0.0836,0.1504,0.0864,0.0857,0.1045,0.1485,0.1576,0.8857,2.24
Signals Network,0.0029,0.0352,0.0419,0.0754,0.0433,0.0430,0.0524,0.0745,0.0791,0.4443,1.12
DopeCoin,0.0022,0.0060,0.0072,0.0129,0.0074,0.0073,0.0089,0.0127,0.0135,0.0758,0.1917
SoMee.Social,0.0058,0.0050,0.0059,0.0107,0.0061,0.0061,0.0074,0.0105,0.0112,0.0628,0.1589
Knekted,0.0002,0.00008051,0.00009581,0.0002,0.00009900,0.00009816,0.0001,0.0002,0.0002,0.0010,0.0026
XMCT,0.0017,0.0016,0.0019,0.0034,0.0020,0.0019,0.0024,0.0034,0.0036,0.0200,0.0506
Aphelion,0.0033,0.0123,0.0146,0.0263,0.0151,0.0150,0.0183,0.0259,0.0275,0.1548,0.3915
MedicCoin,0.0006,0.0010,0.0012,0.0021,0.0012,0.0012,0.0015,0.0021,0.0022,0.0126,0.0318
Vsync,0.0010,0.0009,0.0011,0.0020,0.0011,0.0011,0.0014,0.0020,0.0021,0.0117,0.0297
Helleniccoin,0.0024,0.0007,0.0008,0.0014,0.0008,0.0008,0.0010,0.0014,0.0015,0.0082,0.0208
Elysian,0.0019,0.0017,0.0020,0.0037,0.0021,0.0021,0.0025,0.0036,0.0038,0.0216,0.0545
NEVERDIE,0.0013,0.0013,0.0016,0.0029,0.0017,0.0016,0.0020,0.0029,0.0030,0.0170,0.0430
CryCash,0.0353,0.0886,0.1055,0.1897,0.1090,0.1081,0.1318,0.1873,0.1989,1.12,2.83
Newton Coin Project,0.00000099,0.00000097,0.00000116,0.00000208,0.00000119,0.00000118,0.00000144,0.00000205,0.00000218,0.00001224,0.00003095
Zeitcoin,0.00000439,0.00001120,0.00001333,0.00002397,0.00001377,0.00001366,0.00001665,0.00002366,0.00002512,0.0001,0.0004
Magnet,0.0040,0.0069,0.0082,0.0148,0.0085,0.0084,0.0103,0.0146,0.0155,0.0872,0.2205
bitBTC,3955.81,3400.58,4046.79,7277.84,4181.59,4146.28,5055.48,7185.14,7628.36,42870.12,108421.64
GCNCoin,0.00000096,0.00000180,0.00000214,0.00000385,0.00000221,0.00000220,0.00000268,0.00000380,0.00000404,0.00002270,0.00005741
Elixir,0.0045,0.0092,0.0110,0.0198,0.0114,0.0113,0.0137,0.0195,0.0207,0.1164,0.2944
Emphy,0.0203,0.0120,0.0143,0.0257,0.0148,0.0146,0.0178,0.0254,0.0269,0.1513,0.3826
SportyCo,0.0029,0.0022,0.0026,0.0046,0.0027,0.0026,0.0032,0.0046,0.0049,0.0273,0.0689
BitcoiNote,0.0154,0.0048,0.0057,0.0102,0.0059,0.0058,0.0071,0.0101,0.0107,0.0601,0.1521
ModulTrade,0.0043,0.0040,0.0047,0.0085,0.0049,0.0049,0.0059,0.0084,0.0089,0.0502,0.1269
Forkcoin,0.0307,0.0322,0.0384,0.0690,0.0396,0.0393,0.0479,0.0681,0.0723,0.4064,1.03
Level Up Coin,0.0002,0.0001,0.0002,0.0003,0.0002,0.0002,0.0002,0.0003,0.0003,0.0016,0.0040
SixEleven,0.3319,0.1205,0.1434,0.2579,0.1482,0.1470,0.1792,0.2547,0.2704,1.52,3.84
Rookiecoin,0.00005175,0.00005433,0.00006466,0.0001,0.00006681,0.00006625,0.00008077,0.0001,0.0001,0.0007,0.0017
Bitstar,0.0077,0.0038,0.0045,0.0081,0.0047,0.0046,0.0056,0.0080,0.0085,0.0478,0.1208
Adelphoi,0.0075,0.0183,0.0218,0.0392,0.0225,0.0223,0.0272,0.0387,0.0411,0.2308,0.5838
Alt.Estate token,0.0002,0.0004,0.0005,0.0008,0.0005,0.0005,0.0006,0.0008,0.0009,0.0050,0.0126
FirstCoin,0.0049,0.0029,0.0034,0.0062,0.0035,0.0035,0.0043,0.0061,0.0065,0.0363,0.0917
Menlo One,0.0005,0.0009,0.0011,0.0020,0.0012,0.0011,0.0014,0.0020,0.0021,0.0118,0.0299
Apollon,0.0010,0.0020,0.0024,0.0043,0.0025,0.0024,0.0030,0.0042,0.0045,0.0252,0.0637
Emerald Crypto,0.0080,0.0018,0.0021,0.0038,0.0022,0.0022,0.0026,0.0037,0.0040,0.0224,0.0566
BLAST,0.0031,0.0009,0.0011,0.0019,0.0011,0.0011,0.0013,0.0019,0.0020,0.0114,0.0289
Chronologic,0.1757,0.1629,0.1938,0.3486,0.2003,0.1986,0.2422,0.3442,0.3654,2.05,5.19
Transcodium,0.0030,0.0025,0.0030,0.0054,0.0031,0.0031,0.0037,0.0053,0.0056,0.0316,0.0799
Wispr,0.0052,0.0045,0.0054,0.0097,0.0056,0.0055,0.0068,0.0096,0.0102,0.0573,0.1448
Ellaism,0.0077,0.0095,0.0113,0.0204,0.0117,0.0116,0.0142,0.0201,0.0214,0.1201,0.3037
WavesGo,0.0186,0.0121,0.0145,0.0260,0.0149,0.0148,0.0181,0.0257,0.0272,0.1531,0.3872
Ignition,0.1460,0.0991,0.1179,0.2121,0.1219,0.1208,0.1473,0.2094,0.2223,1.25,3.16
SkinCoin,0.0017,0.0056,0.0067,0.0121,0.0069,0.0069,0.0084,0.0119,0.0126,0.0711,0.1798
BTC Lite,0.0079,0.0049,0.0058,0.0104,0.0060,0.0059,0.0072,0.0103,0.0109,0.0612,0.1547
CREA,0.0078,0.0082,0.0097,0.0175,0.0101,0.0100,0.0122,0.0173,0.0184,0.1032,0.2610
8Bit,0.0992,0.1041,0.1239,0.2228,0.1280,0.1269,0.1548,0.2200,0.2336,1.31,3.32
Unify,0.0079,0.0066,0.0078,0.0141,0.0081,0.0080,0.0098,0.0139,0.0148,0.0831,0.2101
Sp8de,0.00001827,0.00006862,0.00008166,0.0001,0.00008438,0.00008367,0.0001,0.0001,0.0002,0.0009,0.0022
Bata,0.0281,0.0176,0.0209,0.0376,0.0216,0.0214,0.0261,0.0371,0.0394,0.2214,0.5601
WomenCoin,0.00000293,0.00000217,0.00000258,0.00000464,0.00000267,0.00000264,0.00000322,0.00000458,0.00000486,0.00002734,0.00006914
InflationCoin,0.00000316,0.00000209,0.00000249,0.00000448,0.00000258,0.00000255,0.00000311,0.00000443,0.00000470,0.00002641,0.00006679
XGOX,0.00005927,0.00004827,0.00005744,0.0001,0.00005935,0.00005885,0.00007176,0.0001,0.0001,0.0006,0.0015
Kobocoin,0.0057,0.0105,0.0125,0.0225,0.0129,0.0128,0.0156,0.0222,0.0236,0.1324,0.3349
Ethereum Meta,0.0016,0.0016,0.0019,0.0035,0.0020,0.0020,0.0024,0.0034,0.0036,0.0204,0.0517
Truckcoin,0.0006,0.0006,0.0007,0.0013,0.0008,0.0008,0.0009,0.0013,0.0014,0.0078,0.0198
Dragonglass,0.0003,0.0002,0.0002,0.0004,0.0002,0.0002,0.0003,0.0004,0.0004,0.0023,0.0058
Phoenixcoin,0.0019,0.0020,0.0024,0.0043,0.0025,0.0024,0.0030,0.0042,0.0045,0.0252,0.0637
Loci Coin,0.0033,0.0054,0.0064,0.0115,0.0066,0.0066,0.0080,0.0114,0.0121,0.0678,0.1715
PeepCoin,0.00000264,0.00001370,0.00001630,0.00002932,0.00001685,0.00001671,0.00002037,0.00002895,0.00003073,0.0002,0.0004
TokenStars,0.0117,0.0017,0.0021,0.0037,0.0021,0.0021,0.0026,0.0037,0.0039,0.0218,0.0552
XDNA,0.0359,0.0265,0.0316,0.0568,0.0326,0.0324,0.0395,0.0561,0.0596,0.3347,0.8465
MMOCoin,0.0023,0.0014,0.0017,0.0030,0.0017,0.0017,0.0021,0.0030,0.0032,0.0178,0.0449
bitGold,717.81,864.95,1029.32,1851.15,1063.60,1054.62,1285.88,1827.57,1940.30,10904.18,27577.45
Iridium,0.0079,0.0055,0.0066,0.0119,0.0068,0.0068,0.0082,0.0117,0.0124,0.0698,0.1766
Canada eCoin,0.0014,0.0015,0.0017,0.0031,0.0018,0.0018,0.0022,0.0031,0.0033,0.0183,0.0463
Intelligent Trading Foundation,0.0137,0.0111,0.0132,0.0238,0.0137,0.0136,0.0165,0.0235,0.0250,0.1402,0.3546
ChessCoin,0.0025,0.0019,0.0023,0.0041,0.0023,0.0023,0.0028,0.0040,0.0043,0.0240,0.0606
SURETY,0.0024,0.0026,0.0030,0.0055,0.0031,0.0031,0.0038,0.0054,0.0057,0.0323,0.0816
Payfair,0.0041,0.0042,0.0050,0.0090,0.0052,0.0051,0.0063,0.0089,0.0094,0.0530,0.1341
Puregold Token,0.0117,0.0237,0.0282,0.0508,0.0292,0.0289,0.0353,0.0502,0.0532,0.2992,0.7568
Joint Ventures,0.0060,0.0006,0.0007,0.0012,0.0007,0.0007,0.0009,0.0012,0.0013,0.0073,0.0184
Litecoin Plus,0.0553,0.0323,0.0384,0.0691,0.0397,0.0394,0.0480,0.0682,0.0724,0.4070,1.03
PitisCoin,0.0002,0.0002,0.0002,0.0004,0.0002,0.0002,0.0003,0.0004,0.0004,0.0023,0.0058
Datarius Credit,0.0010,0.0005,0.0006,0.0011,0.0006,0.0006,0.0008,0.0011,0.0012,0.0066,0.0166
Monoeci,0.0158,0.0177,0.0210,0.0378,0.0217,0.0215,0.0263,0.0373,0.0396,0.2228,0.5635
EUNOMIA,0.00000783,0.00000900,0.00001071,0.00001926,0.00001107,0.00001097,0.00001338,0.00001902,0.00002019,0.0001,0.0003
Synergy,0.0278,0.0116,0.0138,0.0248,0.0142,0.0141,0.0172,0.0245,0.0260,0.1461,0.3694
InsaneCoin,0.0055,0.0021,0.0025,0.0046,0.0026,0.0026,0.0032,0.0045,0.0048,0.0269,0.0681
Opal,0.0084,0.0076,0.0090,0.0162,0.0093,0.0093,0.0113,0.0160,0.0170,0.0957,0.2420
Condensate,0.0002,0.0002,0.0003,0.0005,0.0003,0.0003,0.0003,0.0005,0.0005,0.0027,0.0069
CROAT,0.0020,0.0062,0.0074,0.0133,0.0076,0.0076,0.0092,0.0131,0.0139,0.0782,0.1978
Bulleon,0.1153,0.1090,0.1297,0.2333,0.1341,0.1329,0.1621,0.2304,0.2446,1.37,3.48
EverGreenCoin,0.0090,0.0179,0.0213,0.0384,0.0221,0.0219,0.0267,0.0379,0.0402,0.2262,0.5720
Paymon,0.0002,0.0008,0.0010,0.0018,0.0010,0.0010,0.0013,0.0018,0.0019,0.0106,0.0269
More Coin,0.0620,0.0726,0.0864,0.1554,0.0893,0.0886,0.1080,0.1535,0.1629,0.9156,2.32
MNPCoin,0.0565,0.1125,0.1339,0.2408,0.1384,0.1372,0.1673,0.2378,0.2524,1.42,3.59
Tokia,0.0029,0.0031,0.0037,0.0066,0.0038,0.0038,0.0046,0.0065,0.0069,0.0389,0.0984
Elementrem,0.0047,0.0049,0.0059,0.0106,0.0061,0.0060,0.0073,0.0104,0.0111,0.0623,0.1575
bitEUR,1.14,1.18,1.41,2.53,1.45,1.44,1.76,2.50,2.65,14.89,37.65
