Name,MC #,Symbol,Price,BTC,1h,24h,7d,14d,30d,45d,90d,200d,Mkt. Cap,MCAP BTC,24h Vol,24h Vol BTC,Circ. Supply,Total Supply,Max. Supply,Team,Advisors,Brand/Buzz,Product,Coin,Social,Communication,Business,GitHub,GitHub,Avg. volume,Age (mo),Winning months
SmartCash,239,SMART,0.0101,0.00000128,-1.07,-1.21,-0.75,-7.50,-29.54,-42.88,-45.22,-88.38,14.35 MM,$ 14.35 MM,202.51 K,$ 202.51 K,1.414 Bn,"2,014,903,577","5,000,000,000",82.10,---,---,50,98,82,75,100,---,80,"187,420",19,19
Komodo,54,KMD,1.19,0.00015072,0.20,-4.04,5.49,80.81,54.62,66.42,-1.61,-18.77,135.52 MM,$ 135.52 MM,3.96 MM,$ 3.96 MM,113.520 MM,"113,519,636","200,000,000",81.75,80,0,90,88,75,95,100,---,90,"388,208",24,24
Nexo,118,NEXO,0.0714,0.00000902,0.04,-4.49,-7.80,23.31,-6.66,-13.05,-55.71,-9.57,40.00 MM,$ 40.00 MM,11.35 MM,$ 11.35 MM,560.000 MM,"1,000,000,000",--,81.75,85,100,60,86,89,25,100,90,---,"4,068,257",9,9
ZCoin,88,XZC,7.93,0.00100132,-1.03,1.13,26.56,50.98,39.41,44.92,-23.75,-52.36,59.49 MM,$ 59.49 MM,2.00 MM,$ 2.00 MM,7.501 MM,"21,400,000","21,400,000",81.75,66,25,80,98,71,95,100,---,90,"512,116",28,28
Basic Attention Token,23,BAT,0.3794,0.00004790,-0.19,-1.48,33.64,209.34,174.28,150.43,4.94,16.65,478.81 MM,$ 478.81 MM,62.56 MM,$ 62.56 MM,1.262 Bn,"1,500,000,000",--,81.60,80,75,70,88,89,55,100,70,---,"7,668,697",20,20
ost,243,OST,0.0228,0.00000288,0.02,-0.05,16.48,-0.65,-14.50,-19.78,-54.24,-64.85,14.22 MM,$ 14.22 MM,1.94 MM,$ 1.94 MM,623.857 MM,"800,000,000",--,81.55,78,100,60,83,83,95,100,70,---,"640,697",14,14
Verge,46,XVG,0.0108,0.00000137,-2.85,13.82,70.48,63.28,46.39,25.08,-19.47,-53.36,173.65 MM,$ 173.65 MM,23.55 MM,$ 23.55 MM,16.017 Bn,"16,017,168,369","16,555,000,000",81.50,86,0,100,98,77,50,100,---,80,"2,428,588",51,51
SingularityNET,160,AGI,0.0464,0.00000585,-0.83,2.02,30.07,-5.03,-14.66,-4.79,-29.36,-48.73,25.02 MM,$ 25.02 MM,3.62 MM,$ 3.62 MM,539.673 MM,"1,000,000,000",--,81.45,80,75,50,98,82,75,100,---,80,"451,047",13,13
OmiseGo,30,OMG,2.17,0.00027428,-0.16,-0.02,29.90,71.67,44.01,33.14,-36.50,-69.02,304.69 MM,$ 304.69 MM,143.59 MM,$ 143.59 MM,140.245 MM,"140,245,398",--,80.85,36,50,100,82,89,95,100,70,---,"30,795,990",19,19
Enigma,132,ENG,0.4764,0.00006015,0.37,2.81,21.14,65.59,40.53,73.60,-25.51,-63.48,35.65 MM,$ 35.65 MM,3.89 MM,$ 3.89 MM,74.836 MM,"150,000,000",--,80.80,66,75,80,73,82,70,100,---,90,"505,971",16,16
Po.et,197,POE,0.0058,0.00000073,1.23,15.86,57.90,7.69,-1.11,3.96,-51.88,-67.72,18.20 MM,$ 18.20 MM,2.99 MM,$ 2.99 MM,3.142 Bn,"3,141,592,653",--,80.80,86,50,80,78,82,90,100,---,80,"1,060,129",17,17
Aeternity,51,AE,0.5570,0.00007032,1.35,2.32,22.97,32.93,36.67,21.45,-52.59,-69.58,147.40 MM,$ 147.40 MM,23.73 MM,$ 23.73 MM,264.637 MM,"310,457,706",--,80.50,100,100,50,73,73,90,100,---,100,"39,242,360",20,20
aelf,77,ELF,0.2170,0.00002740,-0.09,0.12,35.50,93.81,77.55,63.94,-31.41,-67.31,77.13 MM,$ 77.13 MM,19.20 MM,$ 19.20 MM,355.400 MM,"880,000,000","1,000,000,000",80.15,43,50,80,65,84,80,100,---,100,"3,120,054",14,14
Metaverse ETP,99,ETP,0.7609,0.00009606,-1.65,-7.53,16.63,38.11,17.78,18.67,-76.04,-63.88,54.26 MM,$ 54.26 MM,43.78 MM,$ 43.78 MM,71.318 MM,"75,592,069","100,000,000",79.90,63,0,50,88,88,45,100,---,100,"5,217,034",20,20
Ravencoin,38,RVN,0.0583,0.00000737,-0.05,-1.31,34.40,342.01,289.89,259.50,39.84,252.49,207.23 MM,$ 207.23 MM,52.58 MM,$ 52.58 MM,3.552 Bn,"3,552,070,000","21,000,000,000",79.55,---,---,50,98,75,0,70,---,90,"2,971,787",11,11
Stellar,9,XLM,0.1383,0.00001746,-1.12,10.05,52.93,35.69,12.38,10.87,-45.23,-52.05,2.65 Bn,$ 2.65 Bn,887.14 MM,$ 887.14 MM,19.185 Bn,"104,982,420,568",--,79.30,62,100,100,94,83,20,100,50,---,"115,857,156",54,54
DeviantCoin,899,DEV,0.0473,0.00000597,12.16,1.00,-6.45,37.48,-39.57,-50.90,-82.93,-94.84,731.06 K,$ 731.06 K,2.36 K,$ 2.36 K,15.449 MM,"17,263,266","88,000,000",79.25,---,---,80,96,67,40,100,---,80,"2,883",10,10
Civic,150,CVC,0.0813,0.00001026,-0.29,-0.05,20.27,56.35,42.39,36.19,-41.14,-58.16,27.85 MM,$ 27.85 MM,5.97 MM,$ 5.97 MM,342.700 MM,"1,000,000,000",--,79.15,76,50,70,89,83,95,100,50,---,"428,939",19,19
Status,61,SNT,0.0279,0.00000353,-0.34,2.48,31.76,27.90,45.45,41.29,-25.36,-60.75,96.99 MM,$ 96.99 MM,20.43 MM,$ 20.43 MM,3.470 Bn,"6,804,870,174",--,78.95,66,50,90,63,88,25,70,---,100,"16,562,690",19,19
NEO,19,NEO,12.17,0.00153584,0.59,-1.92,41.28,58.82,41.04,51.88,-25.84,-65.31,790.74 MM,$ 790.74 MM,773.00 MM,$ 773.00 MM,65.000 MM,"100,000,000","100,000,000",78.80,46,0,100,78,83,40,100,---,90,"125,763,454",29,29
NAV Coin,229,NAV,0.2347,0.00002963,0.86,14.83,40.56,35.15,33.75,25.02,-33.61,-48.95,15.28 MM,$ 15.28 MM,2.18 MM,$ 2.18 MM,65.100 MM,"65,100,454",--,78.80,---,---,80,93,61,45,100,---,90,"271,786",56,56
Cortex,149,CTXC,0.1866,0.00002355,2.54,-0.66,30.89,76.83,31.83,47.73,-38.12,-66.36,27.95 MM,$ 27.95 MM,8.85 MM,$ 8.85 MM,149.792 MM,"299,792,458",--,78.65,63,75,60,81,85,90,100,70,---,"2,276,784",10,10
Ethereum,2,ETH,260.10,0.03283705,-0.67,8.17,54.03,120.24,69.44,102.19,21.38,-44.36,27.60 Bn,$ 27.60 Bn,18.12 Bn,$ 18.12 Bn,106.095 MM,"106,095,227",--,78.40,63,0,100,78,78,5,100,---,100,"2,643,283,152",42,42
Swarm,375,SWM,0.0870,0.00001098,-3.26,7.75,-3.41,-33.34,-45.75,-55.73,-61.46,-65.44,7.00 MM,$ 7.00 MM,174.41 K,$ 174.41 K,80.444 MM,"100,000,000",--,78.05,59,100,40,92,79,95,100,70,---,"49,350",12,12
Gas,146,GAS,2.86,0.00036125,-0.15,-0.89,24.97,32.19,15.88,31.18,-44.41,-74.21,28.98 MM,$ 28.98 MM,3.22 MM,$ 3.22 MM,10.128 MM,"17,190,378","100,000,000",78.00,40,0,100,78,73,90,100,---,90,"912,101",19,19
DigiByte,50,DGB,0.0131,0.00000166,0.91,-4.82,30.26,36.78,10.70,14.48,-37.09,-37.09%,154.75 MM,$ 154.75 MM,7.44 MM,$ 7.44 MM,11.799 Bn,"11,798,893,211","21,000,000,000",77.95,66,0,90,80,75,25,100,---,100,"960,758",60,60
Universa,400,UTNP,0.0033,0.00000042,-0.54,-3.74,10.24,-41.05,-51.94,-20.83,-29.32,-69.79,6.16 MM,$ 6.16 MM,59.22 K,$ 59.22 K,1.849 Bn,"4,997,891,952",--,77.75,81,0,80,93,72,95,100,70,---,"1,352",12,12
Bitcoin Diamond,43,BCD,1.03,0.00012963,-0.17,-5.21,20.07,29.46,10.49,7.74,-40.92,-75.50,191.49 MM,$ 191.49 MM,6.20 MM,$ 6.20 MM,186.493 MM,"189,492,898","210,000,000",77.70,---,---,50,88,86,25,100,---,70,"1,496,384",14,14
Tokenpay,167,TPAY,1.47,0.00018533,0.33,3.96,27.40,108.23,77.58,70.28,-16.97,-60.56,23.52 MM,$ 23.52 MM,1.27 MM,$ 1.27 MM,16.024 MM,"20,120,370","25,000,000",77.70,83,50,80,98,78,95,100,---,50,"216,821",10,10
Wanchain,110,WAN,0.4153,0.00005244,1.32,-0.50,34.93,25.80,8.65,0.17,-58.96,-80.45,44.09 MM,$ 44.09 MM,2.81 MM,$ 2.81 MM,106.152 MM,"210,000,000",--,77.45,56,0,90,93,85,55,100,70,---,"2,358,222",10,10
Groestlcoin,137,GRS,0.4376,0.00005525,0.23,4.25,28.53,106.18,80.34,60.40,-14.42,-30.05,31.75 MM,$ 31.75 MM,10.76 MM,$ 10.76 MM,72.553 MM,"72,552,649","105,000,000",77.45,100,0,90,98,69,25,100,---,80,"645,707",58,58
ODEM,124,ODE,0.1626,0.00002053,-0.06,-10.44,-14.52,-43.94,-44.22,-42.44,-17.83,-59.31,37.45 MM,$ 37.45 MM,5.23 MM,$ 5.23 MM,230.296 MM,"268,946,131",--,77.35,61,100,40,88,87,45,100,80,---,"987,342",10,10
LAToken,94,LA,0.1518,0.00001916,-3.81,20.98,62.87,133.87,73.17,137.98,102.96,25.44,57.02 MM,$ 57.02 MM,8.01 MM,$ 8.01 MM,375.604 MM,"400,000,000","1,000,000,000",77.30,65,50,50,88,84,100,100,60,---,"3,487,032",15,15
SysCoin,135,SYS,0.0594,0.00000750,-0.78,0.64,-1.99,38.39,18.54,25.88,-34.45,-60.83,32.86 MM,$ 32.86 MM,980.51 K,$ 980.51 K,553.131 MM,"553,130,522","888,000,000",77.25,66,0,80,98,71,25,100,---,90,"297,646",54,54
Revain,102,R,0.1105,0.00001395,0.42,-4.46,11.19,-50.11,-57.81,-42.79,-44.28,-59.36,53.52 MM,$ 53.52 MM,2.12 MM,$ 2.12 MM,484.450 MM,"484,450,000","484,450,000",77.00,56,75,70,73,89,95,100,50,---,"2,687,040",15,15
Siacoin,52,SC,0.0036,0.00000046,0.15,8.19,48.81,41.55,29.73,21.52,-42.78,-67.09,147.14 MM,$ 147.14 MM,8.06 MM,$ 8.06 MM,40.713 Bn,"40,712,908,899",--,76.95,41,0,90,93,87,75,100,60,---,"1,158,878",41,41
ChainLink,32,LINK,0.8236,0.00010398,-0.01,-0.70,27.16,58.61,113.40,159.22,67.39,269.78,288.27 MM,$ 288.27 MM,25.59 MM,$ 25.59 MM,350.000 MM,"1,000,000,000",--,76.80,66,75,50,63,88,20,100,---,100,"10,131,103",17,17
iExec RLC,101,RLC,0.6746,0.00008517,-0.87,-5.94,0.12,231.29,217.33,236.54,53.02,-5.70,54.02 MM,$ 54.02 MM,5.24 MM,$ 5.24 MM,80.071 MM,"86,999,785",--,76.75,86,0,50,73,82,95,100,---,90,"592,740",22,22
AppCoins,356,APPC,0.0757,0.00000955,1.10,4.51,26.80,61.50,51.91,57.42,-27.88,-59.99,7.57 MM,$ 7.57 MM,1.01 MM,$ 1.01 MM,100.054 MM,"246,203,093",--,76.75,66,50,80,98,66,75,70,---,80,"435,050",13,13
Bluzelle,261,BLZ,0.0612,0.00000773,-0.13,-3.29,32.02,44.11,33.11,24.71,-55.10,-80.18,12.64 MM,$ 12.64 MM,3.95 MM,$ 3.95 MM,206.324 MM,"500,000,000",--,76.60,63,75,50,88,82,25,70,---,90,"503,033",12,12
C20,148,C20,0.6947,0.00008770,-0.14,-0.60,37.02,82.91,67.71,73.34,4.89,-31.12,28.08 MM,$ 28.08 MM,27.04 K,$ 27.04 K,40.419 MM,"40,656,082",--,76.55,54,100,60,88,79,75,100,60,---,"58,893",12,12
Kyber Network,113,KNC,0.2562,0.00003235,0.03,-5.05,25.80,86.90,50.07,52.78,-36.43,-72.68,42.70 MM,$ 42.70 MM,10.78 MM,$ 10.78 MM,166.668 MM,"214,762,512",--,76.45,31,75,80,92,75,70,100,80,---,"2,077,008",16,16
Footballcoin,563,XFC,0.0080,0.00000101,-0.79,-2.92,34.98,82.78,49.96,49.96%,,,2.99 MM,$ 2.99 MM,5.46 K,$ 5.46 K,374.661 MM,"1,000,000,000",--,76.40,---,---,50,90,64,90,100,---,90,"6,347",1,1
Dragonchain,170,DRGN,0.0970,0.00001225,-6.08,7.17,8.19,17.15,0.13,-0.56,-58.55,-69.06,23.13 MM,$ 23.13 MM,1.12 MM,$ 1.12 MM,238.422 MM,"433,494,437",--,76.25,61,100,80,68,83,55,100,70,---,"487,280",14,14
Cindicator,159,CND,0.0173,0.00000219,-0.23,-0.54,27.32,49.40,62.26,47.36,-26.90,-46.96,25.05 MM,$ 25.05 MM,970.55 K,$ 970.55 K,1.446 Bn,"2,000,000,005",--,76.15,51,100,50,83,79,75,100,80,---,"429,451",16,16
Scorum Coins,930,SCR,0.0209,0.00000263,0.35,5.06,-6.21,-70.87,-77.96,-83.22,-75.93,-75.93%,610.29 K,$ 610.29 K,26.76 K,$ 26.76 K,29.265 MM,"29,265,075",--,76.05,100,100,80,98,48,25,100,---,90,"15,763",6,6
TenX,141,PAY,0.2682,0.00003386,-0.68,0.06,17.47,-19.25,28.43,-40.93,-52.75,-72.91,30.67 MM,$ 30.67 MM,2.19 MM,$ 2.19 MM,114.348 MM,"205,218,256",--,75.90,79,0,50,78,83,100,100,80,---,"1,695,700",19,19
Decentraland,90,MANA,0.0563,0.00000711,0.06,3.19,20.24,43.75,24.71,-4.06,-32.30,-55.96,59.13 MM,$ 59.13 MM,18.01 MM,$ 18.01 MM,1.050 Bn,"2,644,403,343",--,75.85,86,75,80,98,88,55,100,---,30,"2,120,757",17,17
Waves Community Token,367,WCT,0.7246,0.00009148,0.73,-4.41,6.01,-16.93,9.44,17.21,170.36,57.88,7.22 MM,$ 7.22 MM,35.39 K,$ 35.39 K,9.965 MM,"9,999,990",--,75.75,0,0,90,98,55,95,100,---,100,"45,725",24,24
Selfkey,280,KEY,0.0039,0.00000050,-0.17,-5.22,42.65,42.99,36.35,27.82,-47.22,-66.11,11.33 MM,$ 11.33 MM,3.03 MM,$ 3.03 MM,2.868 Bn,"5,999,999,954",--,75.70,58,75,60,93,79,75,100,50,---,"548,306",13,13
Nucleus Vision,258,NCASH,0.0022,0.00000028,0.68,4.44,28.19,13.61,7.38,2.14,-56.20,-82.84,12.76 MM,$ 12.76 MM,1.08 MM,$ 1.08 MM,5.783 Bn,"10,000,000,000",--,75.65,71,100,40,78,83,95,100,50,---,"476,601",11,11
Decred,29,DCR,32.17,0.00406086,-0.21,-1.24,25.64,88.32,68.72,68.66,-19.99,-55.87,314.82 MM,$ 314.82 MM,3.34 MM,$ 3.34 MM,9.787 MM,"9,787,455","21,000,000",75.45,60,0,80,98,71,25,70,---,90,"1,233,758",36,36
Santiment Network Token,82,SAN,1.12,0.00014182,1.48,16.44,33.56,257.93,193.30,213.49,134.01,9.04,70.39 MM,$ 70.39 MM,561.15 K,$ 561.15 K,62.660 MM,"83,337,000",--,75.25,55,25,60,93,79,80,100,70,---,"57,490",19,19
Turtlecoin,404,TRTL,0.0001,0.00000002,0.11,-4.29,27.02,-0.94,-3.88,116.67,51.21,51.21%,6.10 MM,$ 6.10 MM,283.40 K,$ 283.40 K,43.656 Bn,"43,656,097,100","1,000,000,000,000",75.20,---,---,30,88,66,70,70,---,100,"194,307",6,6
Dock,412,DOCK,0.0131,0.00000166,-0.64,2.05,20.79,27.29,42.18,30.87,-50.78,-73.21,5.86 MM,$ 5.86 MM,953.96 K,$ 953.96 K,446.946 MM,"1,000,000,000",--,75.20,86,100,80,88,70,90,100,---,50,"1,200,965",9,9
HOQU,697,HQX,0.0101,0.00000127,1.69,64.78,41.68,7.21,6.88,88.56,15.72,-37.89,1.70 MM,$ 1.70 MM,123.90 K,$ 123.90 K,169.144 MM,"275,854,380",--,75.15,86,100,50,98,70,75,100,---,60,"1,091,361",11,11
Stakenet,276,XSN,0.1370,0.00001730,1.82,7.82,22.56,75.00,32.05,9.54,-26.85,-57.10,11.50 MM,$ 11.50 MM,71.76 K,$ 71.76 K,83.904 MM,"89,197,832",--,75.05,86,0,50,98,68,45,100,---,90,"86,381",10,10
Stratis,65,STRAT,0.9149,0.00011550,0.45,-2.94,24.18,-13.09,-16.13,-33.89,-41.54,-66.88,90.87 MM,$ 90.87 MM,4.64 MM,$ 4.64 MM,99.330 MM,"99,329,803",--,74.95,41,100,90,93,74,45,100,50,---,"2,561,102",30,30
Elastos,95,ELA,3.69,0.00046596,0.63,-5.89,18.85,69.15,34.79,24.54,-46.30,-78.10,56.60 MM,$ 56.60 MM,7.17 MM,$ 7.17 MM,15.335 MM,"34,453,824",--,74.85,60,25,80,98,84,45,100,---,50,"1,690,859",12,12
Eristica,948,ERT,0.0032,0.00000040,-29.19,-46.52,-37.17,18.92,-14.08,-6.40,-45.58,-45.58%,547.37 K,$ 547.37 K,0.00,$ 0.00,172.468 MM,"230,502,120",--,74.85,75,100,50,88,62,95,100,70,---,397,4,4
